id,age,salary,department
0,19,52016.16227326398,IT
1,24,44667.187580177066,HR
2,43,51142.703624789705,Marketing
3,37,35776.30493445482,Marketing
4,36,51820.03392234135,IT
5,51,43411.73567285748,Marketing
6,49,39835.46948488748,HR
7,38,39932.03410489615,IT
8,49,48367.41482544983,IT
9,30,57532.545713639505,Finance
10,48,34836.61593823118,HR
11,52,51617.13857500375,HR
12,32,49790.535971853606,Finance
13,58,52957.4922645995,IT
14,61,25586.71632330586,Finance
15,51,49111.69086837454,Finance
16,42,46148.73043757014,Marketing
17,62,44939.145850991226,Marketing
18,19,50876.05605316648,HR
19,19,37385.94432415062,Marketing
20,49,50554.14946229005,HR
21,22,72886.3582569564,Marketing
22,35,71327.91331672766,Finance
23,30,65297.13461077511,Marketing
24,63,56009.63140140157,Finance
25,49,62901.818141988835,HR
26,59,56739.8221303873,IT
27,46,42541.48832693238,IT
28,52,52333.4895859572,Marketing
29,63,23572.305779742717,HR
30,23,65464.09583562425,Finance
31,35,79164.63577485422,Marketing
32,53,69347.03374319126,Marketing
33,27,60038.84169034904,Finance
34,44,34672.715989832686,HR
35,34,60333.48942900032,HR
36,34,61475.22622008575,Marketing
37,28,51655.1457242935,Finance
38,28,38931.90986131924,Marketing
39,50,43880.823742982466,Finance
40,56,56093.48004901483,HR
41,39,16197.997985054742,IT
42,38,21994.27367147194,IT
43,19,51890.71665201907,HR
44,45,56136.21870316161,Finance
45,50,54569.7770985225,IT
46,27,47968.396566453885,Finance
47,39,33285.5468960073,IT
48,32,33120.75762804439,Finance
49,57,40915.38517113622,Marketing
50,54,56133.55415336154,Finance
51,37,47694.7469147819,Finance
52,32,54154.91439002233,IT
53,28,46635.067005125486,IT
54,26,52361.0831641812,IT
55,43,25091.02232252048,HR
56,38,57444.195936726166,IT
57,18,62341.00260403362,Finance
58,46,57616.52467366165,HR
59,50,39357.229798724955,HR
60,59,50915.48478859297,Marketing
61,57,28045.757110768238,Finance
62,29,46508.44645698734,Finance
63,33,51058.2376276057,IT
64,18,58128.37551756495,Finance
65,64,23777.84200975253,Marketing
66,54,43693.46603086248,IT
67,35,23805.42989493282,HR
68,57,38162.67686563002,IT
69,60,83784.32559049471,Finance
70,26,49613.220529076774,IT
71,36,53891.92341656072,Finance
72,32,60563.277002668656,Finance
73,45,51396.911861061104,HR
74,43,61442.03427383491,IT
75,32,40556.96335080944,IT
76,54,55190.93774960212,Finance
77,18,73070.92630879371,Marketing
78,35,58220.387584648655,Finance
79,44,51450.22558339673,Finance
80,61,58356.32126123453,Marketing
81,24,44612.04112156969,Marketing
82,36,52241.99902603039,HR
83,47,44466.66424042539,Marketing
84,42,53612.63699617269,HR
85,53,44815.63331543497,IT
86,31,49277.591830752994,Finance
87,38,39960.20268468586,Marketing
88,61,58992.59846309799,Finance
89,64,74192.05811557076,HR
90,20,57146.301332483075,HR
91,40,25824.214242099788,Finance
92,55,36374.08780633662,Finance
93,33,64712.83144653168,IT
94,22,37356.85010912311,Marketing
95,20,63583.532605338936,Marketing
96,37,64333.844603551785,Finance
97,46,43539.955987066074,Finance
98,26,32642.956226197446,HR
99,48,50619.431292441484,Marketing
100,32,47938.06501171022,Marketing
101,45,85403.07643827965,HR
102,57,50856.369626885615,HR
103,50,44311.07982825207,IT
104,24,23642.214541735117,IT
105,43,37554.96125690497,HR
106,45,48274.32142212255,Marketing
107,35,31245.885624275314,Finance
108,23,33759.70275375911,Finance
109,53,50611.161328986425,Marketing
110,28,47500.96646996255,IT
111,40,56613.92266258275,Marketing
112,28,70294.22975928386,IT
113,55,63920.104738081194,HR
114,47,64063.82796401915,HR
115,43,52735.51484783569,Finance
116,22,41006.55719050813,Finance
117,53,49647.79602480184,Marketing
118,61,35528.59509323707,Marketing
119,30,36620.67285837406,IT
120,63,32329.740716944143,HR
121,32,52337.04943995939,Finance
122,19,96832.22876401249,Finance
123,59,51519.65214931339,Finance
124,36,55449.5902934308,Finance
125,41,58764.34264486146,Finance
126,41,63028.10374535885,Finance
127,49,51927.56808626016,HR
128,59,72115.55098498422,IT
129,45,62457.29529608174,Finance
130,33,36914.608378000135,IT
131,41,50121.528616774674,HR
132,35,47945.97269673918,Marketing
133,30,27512.019233900155,HR
134,41,37755.10035412745,Finance
135,44,84579.59452028725,HR
136,61,58123.031198772165,Marketing
137,30,47457.077652047126,Marketing
138,27,29121.79367831247,Marketing
139,61,41634.15258686674,Finance
140,39,31050.851052562157,HR
141,35,45890.14759338265,HR
142,38,42907.49621068966,HR
143,56,28864.433713881343,Marketing
144,61,56486.43687360734,Marketing
145,42,29716.63396662464,IT
146,54,72070.89993806471,Finance
147,46,46231.856412114765,Marketing
148,49,25733.807009995337,Finance
149,20,60571.29877422734,Marketing
150,31,45234.025054561105,Marketing
151,50,52862.092723818954,HR
152,49,73394.44242355309,Finance
153,31,30809.255486283117,HR
154,31,32242.914919158673,Marketing
155,43,62507.187672116976,Finance
156,54,26231.284434707435,Finance
157,46,45143.49922230975,Marketing
158,49,14111.23087684112,Finance
159,39,46727.66073448684,Marketing
160,25,62366.56846226653,Finance
161,36,31853.178844587925,IT
162,63,62349.29462993793,HR
163,52,65215.33979790309,IT
164,43,52256.74571514348,HR
165,28,41151.959093086036,HR
166,33,65343.504388150126,Finance
167,29,33945.16197966705,IT
168,51,56638.47383011251,Marketing
169,36,40219.70647870098,IT
170,41,56379.2610870181,HR
171,27,68178.93389093505,Marketing
172,22,39174.658694226346,Marketing
173,59,60005.17692695576,Marketing
174,45,57718.22084886715,Finance
175,48,72857.99272338321,Finance
176,31,30049.088737141024,HR
177,40,46058.89891864189,Finance
178,26,35581.38691754056,Marketing
179,57,65079.19907625679,HR
180,43,31097.23454835098,IT
181,34,43563.8390274983,IT
182,41,73084.93770619012,HR
183,18,64794.41790314872,IT
184,18,44445.01137404466,HR
185,52,22735.616547188747,HR
186,29,71078.38508972486,Finance
187,25,58166.091137034884,Marketing
188,46,38072.49770500372,Marketing
189,44,51466.5667953561,IT
190,35,44691.08827805546,HR
191,45,32446.407126294504,Finance
192,56,50318.18200420778,IT
193,41,45706.24303876531,Marketing
194,31,45358.415438481214,HR
195,19,40604.708259128915,IT
196,54,26914.320341317776,HR
197,31,38761.19782124117,IT
198,32,62481.9821357318,Finance
199,62,32930.80959930111,Marketing
200,37,57735.25141970013,Finance
201,23,50358.206767468706,Finance
202,30,66661.35020726998,HR
203,60,37022.84691920692,HR
204,62,71313.7153077282,HR
205,19,52539.35014665632,HR
206,62,65386.87172285819,Marketing
207,62,71687.9016937123,IT
208,20,69754.0574946908,Marketing
209,55,44142.53134136466,HR
