id,age,salary,department
0,39,45932.87127802108,HR
1,59,36030.03424588204,HR
2,43,37597.948550628025,HR
3,58,41692.24283690783,IT
4,21,65509.72637288379,Marketing
5,50,50474.15345613444,IT
6,48,55766.816213950064,Marketing
7,46,41195.38989083749,Marketing
8,47,24021.690876933048,Marketing
9,42,57739.144831597645,Marketing
10,28,42414.410617293775,Finance
11,33,76018.08793319941,Marketing
12,24,24911.36614176418,Marketing
13,32,53062.28051677509,IT
14,56,19279.470768327214,Marketing
15,18,59869.2410695939,Finance
16,53,45716.932221800045,Marketing
17,38,50684.57342631254,Finance
18,33,43240.53984951142,HR
19,49,25941.057650125553,HR
20,36,67293.52304315174,Finance
21,56,47200.731418738265,Finance
22,46,40758.26473642024,Marketing
23,48,38387.819335052074,IT
24,59,64200.45328188088,Marketing
25,52,52274.95578832771,IT
26,22,67126.04309120607,IT
27,23,48100.61424640236,Finance
28,39,74687.95288942149,IT
29,48,37408.54645308493,Finance
30,34,47269.123188040925,Finance
31,49,53866.44516804089,HR
32,21,40313.09235404944,Marketing
33,40,69645.06048094078,HR
34,34,53168.892674983595,Finance
35,54,30912.046230148626,IT
36,21,40566.98072792196,Finance
37,23,51752.38350295553,Marketing
38,23,34141.86346728502,HR
39,26,58084.5128745003,Finance
40,45,71908.9777678378,Marketing
41,20,49768.46048573406,Marketing
42,39,49203.703830644656,Finance
43,30,78882.53729319123,Finance
44,64,73559.28430613871,Finance
45,21,31645.993954839887,Finance
46,41,92417.4155201005,HR
47,31,40419.13712310501,Finance
48,28,45052.00922337786,HR
49,36,37387.207735726464,Marketing
50,49,70442.44563234493,IT
51,64,30555.40428184442,HR
52,39,27570.290454073787,Marketing
53,21,42068.78015237467,IT
54,35,58157.12305445581,Marketing
55,61,76280.69239558707,Finance
56,24,10850.65668707468,Finance
57,28,42901.07862706777,Finance
58,30,28311.57989992925,Marketing
59,40,44510.748214803614,IT
60,47,24136.735861101715,Marketing
61,37,47638.49569324206,Marketing
62,25,67331.9900290675,Marketing
63,57,27020.302405780814,HR
64,62,59142.778625221334,HR
65,58,46784.870039981724,HR
66,42,50112.18764487916,HR
67,41,27099.963502836366,Finance
68,35,46527.31695918321,Marketing
69,28,54912.57541916048,IT
70,34,61388.25257130079,Finance
71,45,50311.99642387536,Marketing
72,30,50147.087137624476,IT
73,48,45317.24703091108,IT
74,18,64089.44375774544,HR
75,55,40030.8237447923,Marketing
76,47,44501.449452661494,Marketing
77,45,52543.45703203625,HR
78,63,56182.097947455164,IT
79,22,57052.49562128888,Finance
80,20,81793.76203930758,HR
81,63,45461.13234643748,Marketing
82,31,58773.34441883209,HR
83,59,49400.16967166498,HR
84,61,58290.25855017715,IT
85,56,52559.06601870479,IT
86,53,55759.55787747776,IT
87,23,44066.95540734152,IT
88,47,64940.82570359395,Marketing
89,48,39439.05800538673,HR
90,53,57672.60444872788,Finance
91,41,37461.68676860463,Finance
92,20,63822.25639165555,Marketing
93,33,68600.68711961416,IT
94,21,36280.60922637377,IT
95,19,42171.9010398371,Finance
96,34,65177.937100586554,IT
97,54,25472.136583494976,HR
98,33,46368.49953992729,IT
99,22,68958.64477299793,Marketing
100,23,47372.287886332066,HR
101,28,52466.612034468504,HR
102,31,52382.174039846315,HR
103,53,56170.5843674691,Marketing
104,31,55826.48013434908,IT
105,54,54525.952435062245,Finance
106,52,51667.80149794774,Finance
107,24,73144.63356106669,HR
108,59,54391.20982298094,IT
109,54,45392.65625542771,IT
110,18,50201.65033784048,IT
111,32,55060.36785257461,IT
112,54,25447.301396556075,HR
113,44,23397.606524435043,Marketing
114,29,58966.99779370976,HR
115,54,40370.36288684638,IT
116,35,29285.380656269244,Marketing
117,53,88765.16352694857,Marketing
118,62,63053.38594481399,HR
119,42,60783.39246299996,Marketing
120,63,39380.294979308994,IT
121,32,66498.3673733961,HR
122,52,37336.46900941979,Finance
123,54,61844.88196871535,HR
124,52,70599.88080558585,HR
125,21,44392.962560808424,Finance
126,29,62047.54856169696,HR
127,41,62430.62859097636,IT
128,24,45806.96912208689,Finance
129,36,65961.78202591147,HR
130,32,56001.374220702084,Finance
131,49,32193.921077367384,Finance
132,39,64799.5169856841,Finance
133,27,25730.570021497504,IT
134,20,66547.18158910121,Marketing
135,55,62143.54374540179,IT
136,50,56787.052108176744,IT
137,50,23820.326370177107,Finance
138,55,58026.77798228305,IT
139,51,62015.263244865106,Marketing
140,56,63050.23741420768,Marketing
141,63,47289.003106484575,Marketing
142,50,20560.281658883512,IT
143,29,61547.99813133083,IT
144,22,46080.542865270516,Finance
145,47,51616.10959336958,Finance
146,33,58902.235610337055,Marketing
147,42,29457.550262804358,Finance
148,35,50273.0244004079,IT
149,54,25786.65028319702,Marketing
150,44,64171.40640116967,Marketing
151,24,39441.757893605005,Marketing
152,19,30881.971240237683,Finance
153,35,45713.075234513395,Marketing
154,24,51467.32065602419,Finance
155,53,51591.4071578336,Marketing
156,29,80246.4666878713,Marketing
157,23,63517.71485309633,IT
158,26,44923.07880986984,Marketing
159,27,54373.17228462824,IT
160,34,38788.70778838904,HR
161,27,34702.47132468492,HR
162,39,32791.13219798117,HR
163,26,31362.311104878183,Finance
164,54,56029.07806446705,Marketing
165,64,60503.61502204065,HR
166,19,62824.02824662393,IT
167,37,70574.49014359446,HR
168,62,39998.70206553012,IT
169,53,59930.130715893865,Finance
170,51,52153.06423031932,HR
171,25,52425.82631829407,Marketing
172,51,64674.33525820408,Marketing
173,28,61740.65351563747,IT
174,43,58014.58425911812,Finance
175,50,48493.20305724094,Marketing
176,33,32593.869834224053,HR
177,55,32630.06522318868,Finance
178,55,58301.71541673872,IT
179,49,47246.16976120499,Marketing
180,25,39453.33466317047,Finance
181,31,73732.95659012553,IT
182,54,60136.433379997965,Finance
183,20,63406.98775021163,Finance
184,24,64720.205618305365,Marketing
185,46,64867.28080996558,HR
186,41,52030.34814248843,HR
187,61,49411.52026040537,Marketing
188,32,75053.8849763124,IT
189,50,43546.554469139825,IT
190,35,34871.75877808917,IT
191,59,28956.451640742394,IT
192,30,64473.077041737546,Finance
193,61,40205.297304525746,Finance
194,22,60651.30569620741,Finance
195,56,46953.71512915688,HR
196,24,45539.463941110975,HR
197,54,69227.14603533728,IT
198,42,37186.37260971901,Finance
199,62,39891.59775948829,IT
200,28,27769.84075402153,Finance
201,27,40685.78610141826,HR
202,43,49905.29872764922,Marketing
203,51,36320.32814739912,IT
204,32,44574.83433795712,HR
205,28,24583.07319539303,Marketing
206,43,64691.64613288762,Finance
207,21,67303.29645594402,Finance
208,58,60664.37109287339,IT
209,51,84881.1190170256,HR
210,48,91994.36529948695,Marketing
211,63,53252.948449693526,Finance
212,27,31643.753343540528,Marketing
213,56,45371.81865635664,Marketing
214,21,71791.79101281207,Marketing
215,33,57060.41186135855,Marketing
216,38,68228.49425827328,Marketing
217,44,44549.62335034766,Finance
218,20,53718.29021394541,Marketing
219,43,27188.976989687962,IT
220,45,67660.29405513471,Finance
221,44,43189.478211128604,Marketing
222,63,52007.88890271974,Finance
223,24,55815.781594272325,IT
224,58,53920.77704930593,HR
225,23,20503.535737686423,Marketing
226,54,43008.771355879886,IT
227,33,48530.24237623638,Marketing
228,56,83500.85664839574,Marketing
229,29,36315.37356037791,IT
230,60,64478.79199562264,Marketing
231,19,52137.72310257045,IT
232,58,47861.61839907605,HR
233,57,63845.30472214411,HR
234,37,66675.39574612115,Marketing
235,31,66534.65415157643,Finance
236,49,46251.87990743717,Marketing
237,60,28260.53166752445,Finance
238,57,49034.45490060288,Marketing
239,34,63682.865072842855,IT
240,43,43679.7328412845,HR
241,38,58802.299324371255,Marketing
242,27,40607.69609311221,Finance
243,18,30925.267577134673,IT
244,64,54609.04652355156,IT
245,33,60004.655154219814,Marketing
246,18,24778.754096075994,Marketing
247,23,68659.24151287928,IT
248,57,52831.81858279476,IT
249,32,6053.922191556009,Marketing
250,60,21612.26458871215,Marketing
251,38,48812.003852407455,Marketing
252,50,55133.12667497925,IT
253,40,47700.61792576796,HR
254,44,49423.706821957894,HR
255,41,57392.08251755411,Marketing
256,58,37346.95686705024,HR
257,53,72321.9411731555,Marketing
258,26,42602.02974842908,IT
259,58,47510.20638827189,HR
260,19,80279.73396293346,Marketing
261,60,34611.754375265235,Marketing
262,63,48018.719250064394,HR
263,56,37871.543222346736,HR
264,25,60542.672277852915,Finance
265,62,47647.184483285266,Marketing
266,22,51916.84232457013,Finance
267,49,25619.971302162994,Marketing
268,33,37462.027007131015,HR
269,44,42862.55691471458,Finance
270,57,68256.08833616842,IT
271,22,52776.760687149734,Marketing
272,38,45033.12500657695,HR
273,26,68320.9784873146,IT
274,57,64205.44644301619,Marketing
275,32,59398.857139379994,HR
276,39,38719.35049015646,IT
277,63,48292.764306022174,HR
278,57,29935.29848779117,Marketing
279,43,45855.844300233206,Finance
280,32,44116.03568375838,HR
281,23,41768.85780820548,Finance
282,61,57873.2706104436,HR
283,32,45009.990519359395,HR
284,55,58780.57897640323,IT
285,25,24320.74858769866,Finance
286,45,90270.73412215838,HR
287,19,46581.88994726226,Finance
288,55,42451.90671404718,Marketing
289,42,35327.32465986792,IT
290,39,51822.20092421216,Finance
291,49,63412.79506306605,Marketing
292,58,20539.3840634512,Finance
293,35,42936.63772496741,IT
294,18,33795.573924885284,Finance
295,40,65074.55148510809,Marketing
296,44,37574.436347341805,Marketing
297,31,26987.073440916683,HR
298,63,77202.8704008078,Marketing
299,42,20456.43565998293,HR
300,27,58977.21206762467,Finance
