id,age,salary,department
0,59,37534.49299177232,Marketing
1,44,58418.79411399335,Finance
2,53,82168.92047032026,HR
3,48,37615.56767608473,Marketing
4,58,38180.33005791744,Marketing
5,41,51448.729930419635,IT
6,21,40562.801745173834,Marketing
7,47,57949.429826844746,HR
8,54,68486.30680506745,HR
9,48,73966.13877774659,Finance
10,18,65848.52892002609,Finance
11,32,59529.725411939944,Marketing
12,35,53274.3421139499,Finance
13,19,53091.0112312685,Finance
14,36,58359.95480827898,IT
15,46,61388.76990252826,HR
16,56,82410.9268123145,HR
17,54,54709.76207875716,IT
18,35,35018.389350098485,Marketing
19,41,56845.51633562352,Marketing
20,26,16829.764208713492,Finance
21,61,38009.115949857856,Marketing
22,22,42226.08121480388,Finance
23,52,49966.161046748704,IT
24,36,48260.68429603866,HR
25,31,36112.831713687796,HR
26,62,74012.69381810624,Finance
27,61,41437.769902790395,Finance
28,41,33093.5621261917,IT
29,49,61092.47070024607,IT
30,36,46238.40388849041,Marketing
31,42,29219.43037704258,IT
32,28,78229.61306192755,IT
33,29,39417.89170682824,HR
34,18,61939.38398369208,Marketing
35,30,65828.0464276219,IT
36,56,83231.10965486405,HR
37,47,46414.05187820304,Marketing
38,49,47764.97450371078,Finance
39,25,60105.034075242365,Marketing
40,38,47679.87344005364,Finance
41,19,57470.36675525358,HR
42,42,43065.253866769985,Marketing
43,46,52054.32437142682,Marketing
44,23,87242.00529370813,Finance
45,33,45616.81043495126,Marketing
46,31,35821.27688870111,Marketing
47,43,61637.61017029458,Marketing
48,60,43347.12862838127,HR
49,20,35792.383901042376,IT
50,38,44869.118491108326,Finance
51,52,53633.01672541182,IT
52,59,43479.394228469195,IT
53,27,37718.3046329852,Finance
54,57,50580.86705048807,HR
55,54,34268.30148758574,Finance
56,63,44869.77455602518,Marketing
57,24,52797.404012222665,Finance
58,25,74139.0861772309,Marketing
59,37,71924.5479560897,Finance
60,26,54478.07782517745,Finance
61,43,50184.73346387242,Finance
62,62,35893.54182779745,IT
63,62,60656.736174757025,Finance
64,49,49564.1151179124,Finance
65,27,65617.51015455471,IT
66,41,76508.83840560964,HR
67,20,47486.19501177112,HR
68,36,47732.48797707521,HR
69,59,54878.56215758375,IT
70,30,44033.574243266776,Finance
71,57,61181.60202005901,Finance
72,18,42303.725068349406,IT
73,61,13658.000283867688,Marketing
74,21,23520.070166590634,Finance
75,37,46210.71228069487,IT
76,51,51644.39527298565,IT
77,62,45446.55819278532,Finance
78,51,48413.00057388569,Marketing
79,32,55444.89045603263,Finance
80,27,26568.374674562147,IT
81,30,40746.51600202001,HR
82,59,41390.83068191717,Marketing
83,52,33915.646576105355,Marketing
84,64,69118.87305748723,Marketing
85,32,65712.53843515724,IT
86,20,27183.49288420785,Marketing
87,43,48399.64281218994,Finance
88,22,40446.46308622627,Marketing
89,26,52165.851299411515,Marketing
90,46,58730.340087546036,Marketing
91,35,12635.515342859038,IT
92,22,63934.85073282187,Finance
93,37,43171.49822275683,IT
94,46,26126.640531049983,Marketing
95,21,40431.991671782605,HR
96,48,36323.76097468674,Finance
97,57,43234.665232848325,HR
98,47,46689.71062754373,IT
99,54,25428.58167221551,IT
100,46,51508.907465762786,Marketing
101,38,52078.64287301064,Finance
102,55,53287.64026263928,Finance
103,36,54947.10480474183,HR
104,54,77830.71510943669,IT
105,20,43052.015887526926,Finance
106,49,2524.65745671435,IT
107,49,52058.00706314087,Finance
108,56,51640.96430420832,HR
109,36,26360.561547639583,IT
110,60,38892.49450636403,Finance
111,50,38158.205252446074,HR
112,42,49363.220437062926,Finance
113,30,26237.185549329715,Finance
114,26,50992.94075025631,IT
115,55,44525.6565493049,Finance
116,43,50692.57909149698,HR
117,37,46801.0844290679,IT
118,36,47995.85784097386,Marketing
119,59,52934.12728070409,IT
120,40,57102.75079581604,Marketing
121,28,58197.80887022575,Marketing
122,61,26862.425799058525,HR
123,35,50092.61556702354,HR
124,63,51541.78012590197,Finance
125,22,32695.80733550098,HR
126,26,43464.84581092356,IT
127,52,52702.2718357595,Finance
128,31,46036.70415621596,IT
129,44,44291.12561900362,Finance
130,20,8809.765119029673,Finance
131,53,64139.97391008197,Finance
132,20,32113.62816406834,Finance
133,51,28296.745998977425,IT
134,36,58826.03007122292,IT
135,50,58506.14124277303,HR
136,37,46424.63910919878,Marketing
137,35,66012.61887278127,HR
138,55,64092.22054938922,Marketing
139,61,49506.06042246923,IT
140,46,73620.8582345823,HR
141,35,46854.17697669568,HR
142,21,29947.893293173463,IT
143,38,54195.65383227556,Finance
144,63,62287.26792652162,HR
145,52,20990.86869180798,Finance
146,43,67597.86508065628,IT
147,46,41415.88908285296,Marketing
148,43,23349.152680843123,Finance
149,33,71090.38741018898,HR
150,34,40165.85587556233,IT
151,41,42779.152167900786,Marketing
152,30,40192.42718527186,Finance
153,26,31686.634627634256,Marketing
154,48,67723.99658558842,HR
155,18,53926.65865257843,HR
156,52,52524.536810427715,Finance
157,26,42582.18645797305,Marketing
158,21,67479.09924680057,Finance
159,54,41609.2707289275,Marketing
160,53,66378.3562724636,IT
161,47,71689.31774286112,Marketing
162,33,39246.139649188895,IT
163,25,65322.78854123372,Marketing
164,48,49533.24503076885,Marketing
165,33,50477.82065268514,Marketing
166,47,61283.400600167144,Marketing
167,42,53068.32933366566,Marketing
168,22,62098.76765577134,Finance
169,20,51596.494923724706,HR
170,51,49039.3435900259,HR
171,58,34252.978695111255,IT
172,25,38124.48261200377,HR
173,38,57183.68047751804,Finance
174,50,68026.78872122662,HR
175,53,46884.988539361475,IT
176,38,23195.172956147588,Marketing
177,50,29746.186661723077,Marketing
178,53,61482.279105218055,IT
179,29,22863.967941271967,Finance
180,62,54308.81063770354,IT
181,53,45539.65200584355,HR
182,40,61499.33780000886,Finance
183,21,44671.51281812951,Marketing
184,27,25295.955641895758,Marketing
185,20,54399.062945396996,IT
186,36,67699.446519911,Marketing
187,26,50723.11306210587,IT
188,59,39832.1091859896,Finance
189,26,62584.26188351179,Marketing
190,54,38691.35806634561,HR
191,51,30739.18213999139,Finance
192,37,31668.720150561483,Marketing
193,44,59048.49166711277,HR
194,53,27302.832191482263,IT
195,36,54976.40061901819,Finance
196,64,73973.37235237044,HR
197,31,53929.18526481859,HR
198,46,60842.00890877797,Finance
199,40,35570.841850503035,Marketing
200,35,53287.51934722187,Marketing
201,28,26310.452335313505,Marketing
202,42,12693.602214481474,Finance
203,38,52599.55223083077,Finance
204,32,62176.994043696504,HR
205,35,56148.21325153096,HR
206,64,37815.9838543062,Finance
207,51,31394.430665304404,Marketing
208,58,65572.6663762037,HR
209,49,55644.26348448691,IT
210,43,39585.54966498145,HR
211,36,69490.83168896472,Finance
212,27,77732.75653778936,Finance
213,64,61003.76621781601,Marketing
214,39,63212.18495072544,Marketing
215,61,61405.795415130684,HR
216,49,40238.08728201021,HR
217,59,33333.90887399364,IT
218,28,64876.87472747904,HR
219,24,13644.32372598368,Finance
220,64,53290.38776136901,Marketing
221,52,29976.74975439741,IT
222,44,62712.5505766764,Marketing
223,51,50014.48490902707,IT
224,33,65876.11105054275,Marketing
225,27,68820.44807370492,Marketing
226,44,59925.39477318913,HR
227,23,44773.87063062748,Marketing
228,29,51683.430901827225,HR
229,56,48652.65850587062,Finance
230,20,53298.17093825562,IT
231,46,64339.590906316116,Marketing
232,41,47420.62943041682,Finance
233,25,75368.74885782046,Marketing
234,39,76892.72088114833,Finance
235,64,45098.74266139492,HR
236,31,58873.64175485931,HR
237,38,65237.99763049116,HR
238,47,34912.462886674766,Marketing
239,37,50441.878628835904,IT
240,41,39951.478330652455,Finance
241,35,55521.64259921635,Finance
242,32,50233.103748975365,Marketing
243,50,40432.45152780575,Finance
244,54,47387.422472309736,Marketing
245,53,37072.94115626052,HR
246,22,63054.40185777072,Marketing
247,57,43126.9166014698,Finance
248,60,28792.387126737405,Finance
249,29,65853.33414555794,IT
250,42,48062.23171663733,HR
251,49,65038.54220975206,Marketing
252,46,73008.80576888338,HR
253,49,48253.414128529264,Finance
