id,age,salary,department
0,52,68080.92690451116,Marketing
1,57,77896.71325477945,HR
2,23,34731.667606932446,Finance
3,31,59481.17057828825,HR
4,45,52190.568539230975,Marketing
5,62,37429.96736277351,Marketing
6,62,59427.358365341635,Finance
7,31,47781.68462418794,IT
8,34,48561.84135901567,IT
9,30,45443.78694018829,Finance
10,42,52913.34374416742,HR
11,34,51175.04891596098,IT
12,43,20718.968774644658,IT
13,23,35650.14471207786,Finance
14,59,35002.33503877707,Marketing
15,25,46725.471788965355,Marketing
16,49,60352.669827427526,Finance
17,35,48889.60977940061,HR
18,40,52575.867949038045,Marketing
19,49,80497.93604432636,Marketing
20,50,34525.327276466116,HR
21,27,81557.45569077301,Marketing
22,45,36943.69567523987,HR
23,25,58928.510022711904,HR
24,62,71488.46997213192,HR
25,59,65386.09269942622,IT
26,50,46177.2477620412,Marketing
27,59,51938.473278666774,Marketing
28,34,60323.221492234545,Finance
29,39,68289.40694293681,Finance
30,38,40170.32622159906,IT
31,59,52130.47138905922,Marketing
32,62,62454.711363174436,HR
33,46,43584.733064592365,IT
34,20,65446.56044381442,Marketing
35,57,49463.20000610751,IT
36,25,42731.817973728655,Marketing
37,52,50995.19883859417,HR
38,35,68587.56583397504,Finance
39,48,64908.494187765566,HR
40,45,32524.65006113847,IT
41,23,44256.434504016666,Marketing
42,40,45270.688123325795,Marketing
43,62,60991.01829797532,IT
44,23,54992.50857092663,Marketing
45,24,46042.211051099526,Finance
46,57,25291.983986172192,IT
47,22,41358.528734643936,HR
48,23,59750.78133615862,HR
49,43,60631.97531484108,IT
50,48,49593.918085852085,Finance
51,55,38832.04360932952,HR
52,61,58890.86002618985,IT
53,51,48929.08980050549,HR
54,21,50812.108214521744,IT
55,34,45722.81770445531,Finance
56,18,52283.12533688123,HR
57,29,17861.72271418227,Finance
58,64,25644.849473586797,Marketing
59,27,44507.25888567352,Finance
60,57,61897.803956729964,HR
61,48,43342.25413303402,IT
62,28,68204.22785324365,HR
63,58,34326.28008382837,Finance
64,20,56359.32932064695,Marketing
65,19,55336.82284623016,Marketing
66,25,77721.531872406,IT
67,33,65116.049898230085,IT
68,46,34778.23146367988,HR
69,47,51478.621782098926,IT
70,24,47280.15065023518,Finance
71,47,39735.076640104446,IT
72,28,42061.1955382058,Marketing
73,33,50272.4431686878,HR
74,33,38032.172508679956,Finance
75,55,44104.8910899359,Marketing
76,20,41452.86080889727,Marketing
77,58,55978.13597244735,Marketing
78,53,52975.259640626784,IT
79,39,59407.16065088357,Marketing
80,58,59250.10781565163,Marketing
81,56,63426.0977340726,HR
82,49,66063.51485168016,Finance
83,58,53667.93313547426,Marketing
84,29,51248.47134063204,Marketing
85,21,59575.10653356915,HR
86,47,65042.8319803659,Marketing
87,23,68238.66869412587,Marketing
88,42,38716.398040926375,HR
89,37,45588.18191425565,Finance
90,49,59219.5848062175,IT
91,18,40801.93711823412,IT
92,56,41527.019636091245,HR
93,62,50073.48815609404,IT
94,22,50836.92854106314,HR
95,60,51197.268315262816,IT
96,52,55686.51211889289,Finance
97,51,23297.809802875003,IT
98,18,19284.469229204085,IT
99,60,61353.57449713248,HR
100,43,77213.82284714397,HR
101,35,40682.328035909246,Finance
102,55,54570.58609164608,IT
103,39,44929.927554428265,Finance
104,41,55751.6949879197,HR
105,55,31039.76330039326,IT
106,22,32645.322995167564,Marketing
107,22,57424.302454927085,Marketing
108,45,37292.53596226971,Finance
109,63,55711.11617259256,HR
110,40,54524.890727897386,HR
111,47,52512.34703114791,Finance
112,51,40507.395342941025,Finance
113,22,54525.45709984442,HR
114,21,49440.82682953691,IT
115,42,42508.22029637362,Marketing
116,46,40467.05627171349,Marketing
117,50,36242.582245467274,IT
118,58,37233.73181509586,Finance
119,49,52415.770617904906,Marketing
120,53,26094.62578457901,IT
121,43,64948.01165743535,HR
122,58,54626.600277139,Marketing
123,33,50693.91301176055,Marketing
124,46,53546.07071432425,Finance
125,26,70999.33551687493,Finance
126,21,59388.51699824077,Marketing
127,27,71240.07952432748,IT
128,61,29209.75044991799,HR
129,38,45791.477910670175,Marketing
130,18,16957.333147211008,Finance
131,22,64924.25302429185,HR
132,29,56358.32348918104,IT
133,29,43116.66714223409,Finance
134,18,56824.10173110798,IT
135,33,51908.70016392449,HR
136,57,70456.3168152095,IT
137,40,63803.23011165529,HR
138,39,47371.12840301484,Finance
139,30,47103.24605267679,HR
140,43,45122.43588598315,HR
141,23,53073.33540916291,IT
142,47,36012.61768838351,HR
143,26,64701.35149414219,IT
144,44,70338.9958882116,Finance
145,27,44456.96592576857,IT
146,52,48823.637876309105,HR
147,50,55569.128946929195,Marketing
148,23,34836.76528803381,HR
149,45,55904.09124027664,IT
150,35,53571.23045260164,HR
151,53,59164.44265734599,IT
152,63,21240.346548104983,HR
153,42,50713.96253487706,HR
154,57,53034.58464589304,Finance
155,58,46157.23438690371,Finance
156,30,79668.23002163444,Marketing
157,61,50120.432624126515,Finance
158,31,48642.89348370607,Finance
159,44,49426.64560917785,Marketing
160,43,46327.223685031095,IT
161,36,21394.610885929284,Finance
162,39,23856.645306954735,Finance
163,46,53629.63275098783,Marketing
164,59,44370.31982234472,HR
165,44,75648.07603404175,HR
166,43,67266.13912524443,Finance
167,27,35905.59074009182,Finance
168,47,41235.37378151238,Finance
169,35,21947.984513000327,HR
170,24,38091.953989129535,IT
171,51,32615.41371360645,HR
172,21,31245.755703726005,HR
