id,age,salary,department
0,45,48086.196402934824,IT
1,22,31290.525136875036,Finance
2,56,76987.20534554878,IT
3,21,54424.1223326898,HR
4,34,52259.709408422015,Finance
5,44,59862.70206376712,Marketing
6,32,69564.60795967506,HR
7,26,77198.27521857724,Finance
8,34,43944.29476439771,IT
9,50,59226.75543212901,Finance
10,34,19612.102287168676,Marketing
11,27,39513.14330845566,HR
12,34,65645.80499591597,HR
13,62,42863.98447083564,IT
14,38,60231.00718016875,IT
15,56,29560.621344717467,Marketing
16,64,44882.978775396914,HR
17,55,44294.18056952513,Marketing
18,51,59303.44863044483,HR
19,44,63632.182103659885,Marketing
20,18,49878.20780447543,HR
21,22,28342.67758324593,IT
22,60,56542.732606478145,HR
23,20,47502.29906193906,Finance
24,38,50114.22022735881,Finance
25,37,47470.2004787474,HR
26,55,78619.91126299895,HR
27,29,50598.1873782788,HR
28,50,64078.80600622994,Marketing
29,21,27441.908509276775,IT
30,46,76989.09424463053,Marketing
31,42,30433.71350679284,Finance
32,37,34882.94308906377,Finance
33,36,55589.93659141648,Marketing
34,33,22050.43101134043,IT
35,36,34498.27518152947,HR
36,28,49445.65103231753,Finance
37,48,39193.90018947678,Finance
38,18,97165.05037013773,Finance
39,48,58662.58443010449,HR
40,47,51970.60578340901,Finance
41,49,45918.27699063719,HR
42,46,22106.062756211722,Finance
43,63,50898.44821129932,HR
44,38,62603.04933494145,IT
45,61,58836.38805494785,Marketing
46,52,59398.79840388035,HR
47,43,26951.62138666834,Marketing
48,38,58802.88863224092,HR
49,60,49887.99612770498,Marketing
50,26,62221.684324828515,Marketing
51,57,41169.309717136326,Marketing
52,29,57942.401149564204,Marketing
53,40,45824.46343461261,HR
54,52,35703.06795419183,Marketing
55,38,42340.11780107342,HR
56,46,58055.85219531874,Marketing
57,45,59282.97842520601,Marketing
58,57,75890.38266147608,IT
59,53,42984.71441566014,Finance
60,31,53537.30158845188,Marketing
61,58,52048.47193699634,IT
62,21,53136.980761699364,Finance
63,35,43508.515183150645,Finance
64,20,33698.888685927115,IT
65,51,63399.24781181847,Finance
66,20,43569.873509982426,Marketing
67,54,75118.65730676027,IT
68,24,46158.08858973468,Finance
69,21,59960.63602949521,Marketing
70,24,44658.96477045195,Finance
71,53,42667.32988546652,Marketing
72,51,69123.03817089698,Finance
73,36,67684.79666356785,Marketing
74,43,40103.05019613123,HR
75,48,51690.163012829595,HR
76,37,27475.643028487295,Finance
77,59,36350.68886879934,IT
78,36,53056.04073559964,Marketing
79,33,77408.85965352088,Finance
80,30,50415.150668580325,Finance
81,53,44813.677602377444,IT
82,31,54655.096919193595,IT
83,63,42775.792472236775,Marketing
84,20,44176.164144517315,Marketing
85,63,28591.52832600779,Finance
86,23,46200.09190479927,HR
87,63,44911.95870640378,Marketing
88,50,40461.379993329516,IT
89,20,74697.3494019825,IT
90,59,50737.23469308784,Marketing
91,59,66162.39832986915,IT
92,64,56346.30213188586,IT
93,64,24504.856814534738,HR
94,38,31130.770843144415,IT
95,42,56941.96895852635,HR
96,18,54489.80561315704,IT
97,45,62056.24597713696,Marketing
98,46,57767.7459311392,Marketing
99,45,40904.123135593,IT
100,50,55023.60967489998,HR
101,21,36776.28217091384,HR
102,46,21563.760598050936,Finance
103,42,64564.57414726735,Marketing
104,56,64130.39426449917,HR
105,43,28936.73904796202,IT
106,48,55879.4462638728,IT
107,33,37792.19519886807,Finance
108,20,53882.30668384069,Marketing
109,64,44191.29444476042,Marketing
110,45,49300.32661339236,Marketing
111,34,51592.94964774272,IT
112,32,59715.24235166949,HR
113,40,49284.4705318106,IT
114,64,54547.622603008305,Finance
115,34,80395.73682431056,Finance
116,64,33587.63196313564,IT
117,27,78150.24341014719,Finance
118,49,30872.097875369003,HR
119,44,61695.745747573186,Marketing
120,37,43838.0668457699,HR
121,56,40873.30749976855,Marketing
122,38,25458.67696203053,HR
123,19,54437.44458060284,Finance
124,62,27687.75028726597,HR
125,62,35694.234226003195,Finance
126,32,55014.72636252553,Finance
127,59,19531.7937894894,Marketing
128,56,49321.15631068621,IT
129,18,51425.059463298865,Finance
130,45,53136.3183442706,Marketing
131,44,53368.342088427344,IT
132,27,61019.17003670852,Marketing
133,64,75756.93093647002,IT
134,30,28598.745239950138,Finance
135,40,64149.260443044266,IT
136,45,43206.65929268012,IT
