id,age,salary,department
0,25,33386.402753145216,Finance
1,33,25933.066415357694,Finance
2,50,61572.19406089159,Marketing
3,26,67294.83142293284,IT
4,47,25987.689652841313,Finance
5,22,47930.211759038386,Marketing
6,45,22059.041975966906,Finance
7,47,55175.469900419026,Finance
8,49,51193.38001280928,Finance
9,24,59018.01667538201,IT
10,50,26060.721620437216,IT
11,21,39879.17097563186,Finance
12,54,26200.492213253052,Marketing
13,30,50975.51216606245,Marketing
14,52,41035.3217309173,IT
15,35,60375.001262894286,HR
16,39,32190.02563579164,Finance
17,46,61277.410093207545,IT
18,24,28466.386902553364,IT
19,63,73301.48827915263,Marketing
20,40,42231.443289389535,Finance
21,46,19118.091033194905,Finance
22,61,69604.44483849996,HR
23,64,46620.99028824696,HR
24,59,69825.27202836284,IT
25,30,49838.43865507424,HR
26,50,53752.166907951934,IT
27,61,56864.48451604556,Finance
28,24,59869.541550626476,Finance
29,53,20930.384669330066,IT
30,49,53774.06010862562,IT
31,28,50422.38274174647,IT
32,58,48003.17644523469,Marketing
33,20,15894.469443235357,IT
34,49,87384.87081802657,IT
35,62,42864.10780718775,IT
36,61,75759.14161221207,IT
37,41,30281.656558847655,IT
38,55,57427.81222110113,Finance
39,63,41656.17784792184,HR
40,38,33012.475907977416,IT
41,43,59512.8505863624,HR
42,64,60377.799871787545,HR
43,63,76095.21542481505,Finance
44,18,42830.87393215262,Marketing
45,29,59935.13419192803,Finance
46,26,46075.26029868286,Marketing
47,47,65787.34597942927,Marketing
48,52,53576.051807139935,HR
49,47,63397.694564094556,HR
50,39,48211.53442953779,IT
51,44,48826.67728461306,IT
52,18,21374.248181698422,HR
53,47,61904.53340895093,Marketing
54,18,69514.6125868546,HR
55,20,42978.45492776576,HR
56,29,42481.865256814,Finance
57,28,55181.39385831773,HR
58,43,71049.4938089322,Finance
59,22,36628.316948187814,Finance
60,23,54232.42476948256,IT
61,42,36717.43529190875,Finance
62,58,44651.813673258825,HR
63,34,39890.57737189349,Marketing
64,64,67809.49674465723,HR
65,51,55041.71173765912,Marketing
66,62,66934.55267892314,IT
67,45,53770.73408307585,HR
68,28,76053.6711073605,HR
69,38,64850.28472447125,Marketing
70,29,43134.108330142335,IT
71,41,30327.106244442064,HR
72,38,47369.93344245924,IT
73,64,66835.57418651116,Finance
74,20,49643.64894891522,Finance
75,45,45528.21075742951,Marketing
76,24,61494.97861587316,Marketing
77,18,54431.19233306566,Marketing
78,35,64011.41732630212,IT
79,40,66783.22602485673,HR
80,23,52928.887028713,Finance
81,46,32717.520168772753,IT
82,42,74995.13612790004,IT
83,59,57995.68976549626,Finance
84,20,45641.17934277133,Finance
85,36,40328.59661536871,Marketing
86,35,65069.61786671122,HR
87,24,59311.56515321315,Finance
88,23,28273.779994912747,Marketing
89,50,52760.87563682077,HR
90,42,50633.13664934536,Finance
91,63,35166.08643907045,HR
92,27,43249.00036274184,HR
93,62,79632.40893876241,Marketing
94,63,29958.572724040714,Marketing
95,44,47152.80249463004,HR
96,32,34058.27576051003,IT
97,35,42711.668190698525,IT
98,54,59768.227160808754,Finance
99,58,19265.95438967761,Marketing
100,23,61417.48484654302,Finance
101,26,46523.917597126376,Finance
102,51,41196.78261012339,HR
103,43,59448.83690887951,HR
104,32,27139.741216046164,IT
105,63,41616.18202548103,Finance
106,60,41331.40170645264,Marketing
107,38,33485.368841233154,Marketing
108,29,71428.60749385257,IT
109,18,52591.5088045539,IT
110,27,27324.67782173397,IT
111,49,47115.244609228874,Finance
112,36,42244.4400692777,Finance
113,43,81401.72173808624,Finance
114,56,63175.92392797927,Marketing
115,31,59233.26500817323,IT
116,58,73364.14184134956,IT
117,39,28252.162846673615,HR
118,47,63408.408320067436,IT
119,35,73767.62386838188,Marketing
120,36,51643.86304555615,IT
121,22,72870.49721874327,HR
122,18,68159.6055475308,IT
123,47,29083.716888187428,HR
124,25,26957.5964959196,HR
125,23,37526.90057328456,HR
126,33,79613.69473387266,HR
127,56,51834.23630605392,HR
128,48,85703.08227521034,Marketing
129,59,36855.638253517434,IT
130,50,50842.145102284085,Marketing
131,62,53625.80224782022,Marketing
132,63,53477.477340648606,HR
133,64,49160.850997797315,HR
134,52,71102.85722791366,HR
135,54,68324.32776764939,Finance
136,35,38562.010610187346,IT
137,51,57634.19943616691,IT
138,24,53124.31963450199,IT
139,39,48463.48339217626,Finance
140,22,48729.19682444764,Finance
141,27,47071.56065492715,HR
142,52,33956.92010663052,Marketing
143,34,61094.131609255455,IT
144,34,46985.15448121257,HR
145,51,57130.992971543936,HR
146,42,38106.02041291406,Finance
147,46,75408.97802061266,IT
148,35,56815.81772487788,Marketing
149,46,41995.99085555263,Marketing
150,38,51512.51521087145,IT
151,50,71125.83789044441,Finance
152,61,27469.199577461575,Marketing
153,36,52316.39058162459,IT
154,23,53125.163980461526,HR
155,46,74473.27487703858,Marketing
156,50,43306.44971801107,Finance
157,47,37209.59262239833,IT
158,19,58528.5829795606,Finance
159,50,53458.95273812287,IT
160,31,61110.502315465616,Marketing
161,18,32001.408633180137,HR
162,55,49356.724585840166,HR
163,19,37924.22645723503,HR
164,29,32959.2051636076,Finance
165,55,84100.42487965392,HR
166,61,37219.63710091209,HR
167,41,77473.77046533496,Finance
168,23,53715.69259465852,Marketing
169,53,76670.7216833262,IT
170,61,55182.849205794926,Finance
171,26,48083.79007032238,HR
172,31,50323.39476972977,Marketing
173,46,51491.250375356474,Marketing
174,63,59054.64629828259,Finance
175,58,66242.58203549612,Marketing
176,51,33844.22129952999,IT
177,34,78235.95695942042,Finance
178,26,57422.8108218045,Marketing
179,42,31032.125149490406,Marketing
180,45,48402.97655992332,Finance
181,41,51273.1233993052,IT
182,63,52672.46335782179,Marketing
183,43,30394.302159088147,Finance
184,39,57242.13952898789,Marketing
185,45,54857.06185330633,Finance
186,54,40685.97490048328,Marketing
187,49,32445.74303620877,IT
188,27,58336.1942860438,IT
189,58,45694.989094519064,IT
190,26,49599.16908729519,IT
191,52,62163.64385675631,IT
192,59,18249.16174010814,Finance
193,28,58041.51898262678,Marketing
194,34,43998.25501084123,Marketing
195,21,58266.120230371875,Marketing
196,44,59942.93012193609,Marketing
197,62,31815.100254530127,IT
198,22,43025.55696442077,IT
199,38,50531.30786062845,Marketing
200,49,48573.197371163405,Marketing
201,39,84689.54445008114,HR
202,23,49621.04174613091,Finance
203,38,46315.641491083436,IT
204,48,64466.16526416539,HR
205,58,35810.10332241699,HR
206,50,52677.740250349125,Finance
207,24,31521.476129669612,Finance
208,20,60057.38771948468,HR
209,47,25189.978896680415,Finance
210,62,75197.4316397448,IT
211,24,49972.046960647334,IT
212,54,38881.80763864573,IT
213,63,38935.3618813755,HR
214,58,50312.952427576856,Finance
215,59,53066.66091722349,Finance
216,37,51769.37298939223,Finance
217,19,40584.22174702892,IT
218,50,44724.55993629056,Marketing
219,28,75131.35181968923,Finance
220,51,49453.408531929555,HR
221,49,34950.31468615719,HR
222,30,39143.957314357416,HR
223,31,68759.1525448038,Marketing
224,48,59887.747857931674,IT
225,47,43284.1810572549,IT
226,34,23436.290994559076,HR
227,26,59261.835258304694,Finance
228,56,40846.9793655392,IT
229,24,38054.560439442226,Finance
230,61,59554.27550437781,IT
231,45,33734.22303735219,Marketing
232,36,43970.342415033,Finance
233,23,52687.10925316116,HR
234,33,58736.09187331573,Finance
235,32,35657.769253356135,Marketing
236,47,55146.32611207581,Finance
237,45,78581.38149934812,Finance
238,59,49129.02506389314,HR
239,22,51125.70807656106,IT
240,51,60257.25354039352,IT
241,63,38833.086779286,IT
242,50,28823.023963376858,Finance
243,20,65928.74560045976,Marketing
244,36,66018.36826491704,IT
245,55,85996.06702388644,HR
246,20,52809.574726605286,IT
247,59,48087.86832189094,IT
248,41,44119.597198866366,HR
249,43,53469.29752929893,Finance
250,29,8849.230949384671,Marketing
251,42,33186.15471656251,HR
252,43,62294.40944838164,HR
