id,age,salary,department
0,25,49727.71698319724,Marketing
1,51,52217.43337498625,IT
2,58,46258.79766449077,Finance
3,35,17576.799267202678,IT
4,38,42473.72708411344,Finance
5,55,65665.59304798464,HR
6,53,60882.512147323556,Marketing
7,23,69261.6851645643,HR
8,55,46882.033342145405,HR
9,21,56332.213561328215,Marketing
10,33,41646.37212586902,Marketing
11,49,42078.02692368497,Finance
12,25,42719.43099141331,Marketing
13,18,60265.807603487716,IT
14,26,58248.23528610937,Finance
15,49,38724.7069580028,IT
16,43,43729.74458275706,HR
17,54,69650.64162621857,HR
18,46,51404.71190645112,HR
19,44,42317.101081793255,Marketing
20,64,42396.81159881632,Finance
21,31,47720.150512953885,Finance
22,61,68224.03452614267,HR
23,47,46323.09966749941,Finance
24,40,56919.29643999671,Finance
25,20,49946.6569622687,HR
26,61,24843.272307269544,Marketing
27,63,59417.31955481447,Marketing
28,35,55888.56016702688,IT
29,58,39043.350692570246,Marketing
30,54,60451.53496874957,HR
31,22,71933.15257561678,Finance
32,37,55871.305378448524,HR
33,31,53435.49749136265,HR
34,22,37982.01571469468,HR
35,48,36782.61264935723,IT
36,47,54562.28485123912,HR
37,58,47095.91301822481,Marketing
38,55,40764.48832022877,Finance
39,39,54984.785608352075,Marketing
40,57,67638.52140391358,Finance
41,42,68567.74636294921,HR
42,43,54062.67437974844,IT
43,34,46691.4428847322,HR
44,37,39545.640020239734,IT
45,34,65097.39966720176,HR
46,50,53434.9830988637,IT
47,30,27503.349410022234,HR
48,27,28940.233951352362,Finance
49,46,57534.122426458016,HR
50,29,75093.36882125269,Finance
51,43,25948.36086420808,IT
52,21,61914.02235098455,HR
53,36,58552.87179012983,Finance
54,44,39154.7015706694,HR
55,26,60796.33321561407,Marketing
56,59,50928.049955641894,HR
57,37,55771.910423254805,Finance
58,52,40839.184163261234,IT
59,45,27208.77752884042,Finance
60,40,68077.68412290973,Marketing
61,50,63368.71446490047,IT
62,51,29314.048972592573,Marketing
63,49,26453.287030530773,IT
64,38,73046.11545809066,HR
65,63,50755.27720965207,IT
66,34,48653.82625877337,IT
67,58,58341.37639463675,Finance
