id,age,salary,department
0,61,64745.57440420071,IT
1,54,62007.28120649926,IT
2,22,11852.794462677302,Finance
3,27,59824.40690406859,Finance
4,22,67091.32568419025,Marketing
5,48,54926.67471074443,IT
6,34,39903.16387658683,IT
7,41,60624.428909418144,HR
8,34,64249.78445661429,Finance
9,19,46891.11918423048,IT
10,44,43550.809179040494,HR
11,22,44583.34509648287,Finance
12,22,50875.31458062762,HR
13,55,41268.62017152807,HR
14,41,59764.507136827575,HR
15,44,76423.69049643818,HR
16,47,50423.71548939693,Marketing
17,18,45436.43991439114,Marketing
18,22,24407.055265349005,HR
19,50,53335.59802438099,Finance
20,64,53368.38541894461,HR
21,55,30008.716973048944,HR
22,20,54376.99628856392,Finance
23,51,28475.570044782547,Finance
24,48,56212.86719985928,HR
25,60,56651.93345385026,IT
26,34,67380.6546229676,HR
27,57,37647.57673962773,Marketing
28,46,67910.7893424648,HR
29,51,65669.83742820809,IT
30,48,19017.517844175694,Finance
31,32,72471.89639986046,HR
32,27,35209.36747944375,HR
33,48,66031.96005834063,Finance
34,27,34033.350870314855,Marketing
35,38,51487.37937704978,IT
36,52,58497.91708955474,HR
37,56,55627.5647318203,IT
38,50,31430.163778005695,IT
39,26,47662.146464622594,HR
40,28,60743.17053122394,Finance
41,29,10482.980135639846,Finance
42,41,28657.496672647947,Marketing
43,53,47175.474997141806,IT
44,27,55716.82008711793,Marketing
45,42,60071.8623811647,HR
46,62,89289.09331052333,Marketing
47,32,68467.42079337357,HR
48,21,44711.98256177581,IT
49,49,60561.72502826544,Finance
50,55,34301.9645782858,HR
51,27,35782.69873490112,Finance
52,37,43760.15261912063,Marketing
53,46,39345.26950959935,HR
54,40,34319.85592248906,Finance
55,22,46694.33903856018,HR
56,38,67038.53588141335,Marketing
57,32,87722.38378854949,Marketing
58,51,68544.86029144884,HR
59,57,48012.950463176276,Marketing
60,49,49537.73141692894,IT
61,34,71002.12199319067,Marketing
62,22,25636.08495683809,Finance
63,47,63863.35219301834,HR
64,40,44519.932739947995,IT
65,40,54376.44914604807,Finance
66,27,39987.23697915004,Finance
67,56,63162.295092220935,Finance
68,34,37015.56358314907,HR
69,23,52412.30697243969,HR
70,35,40585.90714071198,Marketing
71,23,54333.376800744074,Finance
72,53,38634.78308946029,IT
73,58,49782.60128961411,Marketing
74,27,41927.06123670081,Marketing
75,30,28643.486491272375,IT
76,62,53122.30736036142,Finance
77,47,53958.99746191384,Finance
