id,age,salary,department
0,25,32602.68772715356,Finance
1,52,48518.50590695518,HR
2,47,60189.08584596851,HR
3,34,53834.58456226207,HR
4,57,40081.94350441965,HR
5,47,48031.852719958784,IT
6,32,60375.400588664364,IT
7,24,67673.25775116101,Finance
8,31,35385.36134522671,IT
9,41,63317.22690058505,HR
10,64,74550.59698482032,HR
11,35,23058.629603630037,Marketing
12,51,45901.53362751669,IT
13,58,36487.400036857245,Finance
14,55,66340.06955245916,Marketing
15,34,56108.27128034397,HR
16,23,63589.94610122324,HR
17,42,56965.93842167469,Marketing
18,41,38436.26100567164,Marketing
19,58,35030.84897794351,IT
20,55,35252.685061041164,Finance
21,59,75840.68760471747,IT
22,59,44447.582587865276,HR
23,49,57547.65720707677,Marketing
24,53,46250.22993127264,Finance
25,37,52447.33182808301,HR
26,22,40834.86421183119,HR
27,56,57994.37761843145,IT
28,29,14046.564543479628,Marketing
29,59,33254.12753137646,Finance
30,33,39759.873461468866,HR
31,36,39583.896978230616,HR
32,54,51538.199674143805,IT
33,40,36948.395010842825,HR
34,56,62316.48988717067,Finance
35,63,58740.65772186599,HR
36,36,49261.978279624134,Marketing
37,62,33772.24869025687,HR
38,22,29124.538175461366,HR
39,40,45229.39402650367,Finance
40,56,51245.672833293465,IT
41,58,22505.684090324063,HR
42,52,67865.2960084788,Finance
43,32,38436.59506876361,Marketing
44,51,21558.38996658129,HR
45,59,46998.217658913425,IT
46,42,44317.83100859644,Marketing
47,19,44509.73133013663,IT
48,31,54692.86007429347,IT
49,59,48484.36627149161,Finance
50,63,31018.813200392513,Marketing
51,40,58220.11024703523,Finance
52,60,65930.79092395963,Finance
53,30,55205.2388793231,HR
54,63,78304.37895058005,HR
55,39,35592.32872721968,Finance
56,63,35469.147860215715,Finance
57,24,54615.206358970034,IT
58,42,50619.02933833498,HR
59,64,45640.90775242297,HR
60,30,51956.438517821465,Marketing
61,45,51551.06225514002,Finance
62,44,13653.618439748365,HR
63,26,41193.30096240903,Finance
64,26,48665.451599233835,Marketing
65,43,79523.96601048822,Finance
66,40,62460.76493116482,IT
67,37,40905.25181282274,Marketing
68,41,76158.54098144526,IT
69,23,52144.03545872486,Marketing
70,48,29260.14479881437,IT
71,61,41741.910802928054,Marketing
72,46,23074.960047360102,Marketing
73,25,52037.80037413774,HR
74,58,59230.66821092504,HR
75,23,66076.93999805673,IT
76,57,58378.81562333607,Marketing
77,60,34997.78616115139,Marketing
78,63,44638.30722078885,HR
79,39,60606.11819491449,Finance
80,47,62125.51190735941,IT
81,20,51635.25823881765,HR
82,38,76454.31273861296,Marketing
83,19,23449.623969763885,Marketing
84,52,38642.18162275511,IT
85,28,41357.7827396034,IT
86,55,56247.12446326791,Finance
87,54,49151.91356194363,HR
88,38,43104.40857255795,HR
89,43,59896.28408085347,Finance
90,52,76221.65145631993,Finance
91,60,24834.396641789044,IT
92,60,31156.21356211654,HR
93,40,21256.267581362514,Finance
94,52,41274.02680186674,Marketing
95,39,66314.94780893008,HR
96,42,75635.46150698197,Marketing
97,35,35257.27258323445,HR
98,48,33607.17449164595,Marketing
99,26,30903.751018128783,Finance
100,54,41984.728632377,Finance
101,30,58185.948837217846,IT
102,41,33755.27771401546,Marketing
103,51,71273.9025816698,HR
104,43,54305.803887668044,HR
105,64,71483.12419776773,Finance
106,32,26615.05780706732,Marketing
107,42,35138.897370596314,Marketing
108,53,72201.75719634074,Finance
109,53,68104.62034274613,Finance
110,23,54456.815074316044,IT
111,55,36597.31334339795,Marketing
112,31,83170.82855958583,IT
