id,age,salary,department
0,39,46358.7171352717,Finance
1,54,48718.38853690648,Finance
2,48,34805.3031306367,Marketing
3,42,82225.64580507364,Marketing
4,38,51318.86656931704,HR
5,48,-1980.1785298338602,IT
6,38,52716.37212542237,Finance
7,63,67335.93852409863,HR
8,19,45770.402369717674,Finance
9,29,78104.35756507276,HR
10,24,42971.271176559676,IT
11,57,46181.61748212457,HR
12,18,66860.7192920256,IT
13,37,45222.679221165694,Finance
14,28,28773.65897908773,IT
15,41,70872.48535224686,Marketing
16,19,31265.787411365545,IT
17,46,75077.81248626304,Marketing
18,30,40397.67145181538,Marketing
19,41,73772.9824032265,Finance
20,32,55381.19311522238,HR
21,48,49405.306827420376,Finance
22,25,53310.631812401414,Marketing
23,55,79779.48598688646,Marketing
24,64,75669.01244338446,Finance
25,58,39666.17342684266,Finance
26,54,40063.56129911178,Marketing
27,60,57193.35848538213,Marketing
28,50,36069.705441006,HR
29,51,44859.09132724498,IT
30,40,53511.457994147255,Finance
31,41,59043.18744655694,Finance
32,53,63715.574709633685,HR
33,29,56208.89427075999,HR
34,36,55799.8491259411,Finance
35,54,49355.734194469405,HR
36,39,39333.96962031996,Finance
37,58,36952.03675588434,IT
38,44,44432.44538755029,Finance
39,23,25485.932907437324,Marketing
40,49,59428.849012720144,Finance
41,63,62700.94585339546,Finance
42,23,34403.38264927062,Finance
43,27,44005.27408403234,Marketing
44,20,64282.19311301527,IT
45,41,59782.652557325266,Marketing
46,63,50643.27470563175,IT
47,28,55626.750680107136,Finance
48,39,37639.532514195744,Marketing
49,45,30706.149590372934,Finance
50,30,53907.690190373905,Finance
51,41,55131.54019481627,Marketing
52,49,38876.28989084257,Finance
53,18,38179.77789861077,Marketing
54,18,40537.53834306857,Finance
55,47,58920.23078779512,Marketing
56,49,37718.892140394455,HR
57,36,54589.70699281904,HR
58,21,34065.7907576778,Finance
59,21,34481.0955027549,Finance
60,42,43201.078949856965,HR
61,37,87033.61737215244,HR
62,54,26259.778143478474,HR
63,55,60052.81947509256,HR
64,33,46034.00162048097,IT
65,24,62026.79898596546,IT
66,27,41181.58589187328,IT
67,24,54118.39075832784,Marketing
68,59,46694.250281748566,Marketing
69,23,37329.75123658292,HR
70,38,45046.39193892243,Marketing
71,44,38677.02231146476,Marketing
72,26,42533.47677506736,IT
73,52,34510.57264082116,IT
74,19,32691.087947710294,Finance
75,40,16943.64769546663,Marketing
76,26,46456.14304477339,IT
77,51,59156.363707138844,Finance
78,61,22020.012312744926,Marketing
79,56,66691.20098281968,Finance
80,21,55918.05485597161,HR
81,57,40818.681707318814,Finance
82,59,41702.019873507226,IT
83,40,62985.70386018624,IT
84,32,50329.13116055203,Finance
85,44,41276.25824005084,Finance
86,52,61224.55338579317,Marketing
87,51,46311.92084761967,Marketing
88,49,41003.97176891302,HR
89,27,42795.949071202005,IT
90,22,36971.050090772114,Finance
91,55,59518.11116430197,Marketing
92,64,51615.64033618437,HR
93,23,51996.895321718206,Marketing
94,50,45850.43947493619,IT
95,64,53992.22705351228,IT
96,39,55803.5479986032,Finance
97,32,75039.91670600182,HR
98,23,51551.00371788235,Finance
99,43,49164.848341636134,IT
100,38,46641.15841265582,Finance
101,25,27963.447000802298,IT
102,36,49060.71990780124,Finance
103,41,79567.14434368318,Marketing
104,25,55755.786108671695,IT
105,21,42926.80105146542,Finance
106,49,38252.49731173089,Marketing
107,44,38642.64337727134,Finance
108,41,44222.24780827475,Finance
109,46,32425.945605253168,Finance
110,31,65672.20807639595,Marketing
111,20,49153.34218568445,IT
112,64,73903.84751254314,Finance
113,64,54006.32955429216,IT
114,36,50269.823329972474,Marketing
115,59,42542.93049034468,HR
116,60,30738.73892655907,Finance
117,48,46218.037573652735,Finance
118,30,48309.91159216442,IT
119,50,47255.0662259449,Finance
120,19,67421.26201462735,Finance
121,26,67234.68319018194,IT
122,58,50846.235143821665,IT
123,58,60312.75829900287,Finance
124,55,71605.29273776215,IT
125,37,47479.62671594052,Marketing
126,38,44365.37581222729,Marketing
127,59,60875.07959930932,Marketing
128,42,39996.92146977718,IT
129,35,51058.68456449986,Marketing
130,25,45319.034869350384,IT
131,58,62593.93055246854,HR
132,52,62348.13900990736,IT
133,29,54861.727366476814,Marketing
134,63,50144.82998109573,HR
135,28,53134.56968271362,HR
136,35,51468.408699934385,IT
137,44,48799.91380667177,HR
138,38,73227.57558141024,HR
139,32,64213.16400213385,Finance
140,42,24023.837259983546,Marketing
141,37,53018.35928803693,HR
142,22,32218.505599110144,Marketing
143,61,61399.68030269486,Finance
144,36,48056.957290861224,Finance
145,21,53968.6935082851,IT
146,64,33843.37465321366,HR
147,24,60176.06903839006,IT
148,20,52783.19994870559,Marketing
149,56,70345.31227042095,HR
150,63,61971.63854889771,Finance
151,29,65491.12274771604,IT
152,27,34287.1073359589,Finance
153,46,46089.46899108739,HR
154,48,49947.19228493853,IT
155,46,52612.5664010017,Finance
156,55,49831.344192981756,Marketing
157,27,51472.66516954485,IT
158,48,46456.91014740008,HR
159,53,71939.10619373809,HR
160,32,42877.130984873766,HR
161,23,44152.143817524506,HR
162,53,49622.56334596082,IT
163,50,70488.40430960145,Marketing
164,51,57820.37029978564,Finance
165,52,71840.42072036109,Marketing
166,24,46785.63149134395,IT
167,56,67533.27756927509,HR
168,32,50743.52534146995,HR
169,60,31716.105008981925,IT
170,49,59489.5686608473,Finance
171,33,76748.58200313251,Marketing
172,37,59152.77227115508,IT
173,40,29824.371423424283,Finance
174,47,91864.67753570754,HR
175,41,52858.900689915936,Marketing
176,30,58214.79289796653,HR
177,56,60897.298405205634,IT
178,37,45984.16005456467,Marketing
179,38,17796.47016379636,IT
180,21,37562.935206447146,Finance
181,19,61339.539718285814,HR
182,52,59437.909268566065,Finance
183,60,47874.785770322786,HR
184,61,65867.02305613102,HR
185,20,30752.956712419087,Finance
186,20,53357.746244002534,Finance
187,47,68993.72250211617,HR
188,49,64676.279859642586,Finance
189,25,70857.86985773059,IT
190,41,61121.54142743411,Finance
191,20,65789.3070133953,HR
192,59,69355.11384715996,IT
193,57,34060.668898436525,IT
194,19,38708.31036619755,HR
195,62,33900.51505723689,Marketing
196,25,53123.814325369895,Finance
197,20,57565.822879473766,HR
198,54,60917.491130229544,HR
199,37,57191.20402132467,HR
200,56,68686.41388304201,IT
201,43,40805.17304477261,IT
202,47,36812.272673072046,IT
203,60,54295.398671764866,Finance
204,35,67644.22355109025,HR
205,56,31933.290984784384,Marketing
206,23,55183.15382830775,Finance
207,37,49223.52571376941,HR
208,41,19529.854537189614,Finance
209,36,71480.99281078078,IT
210,20,43918.728629651116,HR
211,61,72783.15590798232,IT
212,42,35921.57071433569,Finance
213,25,66740.79511456839,HR
214,40,62724.66918416649,IT
215,19,42151.081395526344,Finance
216,20,46383.290502756936,HR
217,20,58063.22702858017,HR
218,54,72811.29323970474,Marketing
219,32,77981.78340193794,HR
220,30,56413.166108907535,Marketing
221,41,54566.78641376392,Marketing
222,57,49642.960430702784,Marketing
223,21,31217.463724624875,Marketing
224,46,72118.57867147113,HR
225,25,46428.38074218146,IT
226,59,38039.287132789694,IT
227,61,21596.74434453166,Marketing
228,61,57333.37750602758,Marketing
229,50,44961.27804550236,IT
230,62,55581.79047905403,HR
231,24,51223.96752086772,IT
232,29,51138.63703846039,IT
233,36,81118.80743002369,IT
234,31,27850.438089735566,HR
235,33,2397.9774859275603,HR
236,42,45170.209770763686,HR
237,20,62206.360807675934,HR
238,25,39510.66481289701,Marketing
239,51,57589.51253840704,HR
240,47,74345.35864964858,Finance
241,24,57284.26607211402,Marketing
242,32,66247.50856312652,IT
243,28,61434.32047951076,Marketing
244,52,67618.14081707303,Marketing
245,62,41260.07554107123,Marketing
246,47,69469.56233587608,Finance
247,30,66834.35912727399,IT
248,36,67152.26299710461,Marketing
249,29,26068.165968881916,Finance
250,40,49401.350619712495,HR
251,36,21464.74490529586,HR
252,60,57186.42305553562,Finance
253,23,55856.81818126839,Finance
254,43,68537.23324089905,Finance
255,58,37903.310122345065,Finance
256,28,61193.46855526697,Finance
257,24,67685.89951728741,HR
258,29,47741.931677546396,HR
259,59,30324.070141103817,HR
260,52,59710.3965622432,HR
261,32,43112.34236824467,IT
262,52,59007.83988597719,Finance
263,61,70237.5784246252,Marketing
264,24,30476.87995465035,Finance
265,45,51307.8200333232,Marketing
266,48,44971.25739559562,Marketing
267,57,71938.50968506387,Marketing
268,21,52442.247874870045,IT
269,53,49364.029137028236,IT
270,35,61727.69887196096,Marketing
271,56,40736.69115101831,HR
272,28,28559.185989422655,IT
273,60,29564.43150748459,IT
274,36,39892.17490594771,HR
275,36,76852.19055745506,HR
276,46,73217.56756495606,Finance
277,23,22027.688457578064,HR
278,58,44285.77546754737,IT
279,41,58981.43223153053,Finance
280,41,77237.3197390846,Finance
281,38,34014.11879845741,IT
282,43,46940.28210810924,Finance
283,61,41299.25996607522,IT
284,32,23885.7668689643,Marketing
285,30,54152.15848081884,Marketing
286,64,43739.57464466958,IT
287,32,63493.75132147656,Finance
288,37,56601.62565924167,Marketing
289,61,16148.707635257122,Finance
290,60,44409.09888059122,IT
291,42,56510.871986436374,Finance
292,64,44464.72778406509,Marketing
293,27,34868.54444741339,IT
294,39,74807.28879713672,Marketing
295,42,20449.95876103818,HR
296,59,25154.99684534339,Marketing
297,53,58824.29274209306,HR
298,53,72446.85707596442,IT
299,58,24547.287488112903,IT
300,54,23772.13386853042,IT
301,49,78664.84612102453,Marketing
302,18,13840.364106411747,Finance
303,45,57406.05132765082,IT
304,30,41439.04612289249,Finance
305,44,48154.81236567954,Marketing
306,27,31003.671354313446,Marketing
307,57,85303.45487518536,HR
308,62,17179.291688205132,IT
309,50,61651.75446319339,Marketing
310,32,56834.5270033121,Marketing
311,46,34017.24675727404,Finance
312,40,48688.95819380561,IT
313,31,45327.12542146095,IT
314,36,38285.934349378746,HR
315,53,41098.40800695659,Marketing
316,21,36675.38044782878,IT
317,29,39138.586234490445,IT
318,37,41919.61383979748,HR
319,49,56829.16176467716,Marketing
320,26,26956.422119528823,HR
321,29,59135.28122135307,HR
322,26,46120.44561304851,Marketing
323,46,59946.0857210602,Marketing
324,64,67089.72822436738,Marketing
325,53,63246.591588904754,Finance
326,53,12984.248993893543,HR
327,32,59491.02903015369,IT
328,28,21573.24982416497,Finance
329,63,54133.7136898381,HR
330,35,42538.545942969875,Finance
331,52,32285.65392717129,Finance
332,25,56003.38077677472,HR
333,61,57786.83047321364,Marketing
334,47,78823.21563883059,IT
335,29,28529.325179399882,HR
336,52,70250.16142824398,Marketing
337,57,36745.38436259215,Marketing
338,30,35643.44243625037,HR
339,29,60251.32857516016,IT
340,45,61507.11076566461,Finance
341,54,40598.2649539814,Marketing
342,33,48360.46041242636,Marketing
343,61,49426.71120191788,Finance
344,51,59941.19662769891,Marketing
345,24,44068.59440987641,IT
346,35,52621.626165456335,HR
347,29,56499.930717917436,Finance
348,44,13164.557016757832,Marketing
349,36,68243.65050984813,HR
