id,age,salary,department
0,18,52406.238380416406,IT
1,42,58807.388724540004,IT
2,51,31690.410780220445,Finance
3,25,69507.40904286465,HR
4,43,41185.81368667642,IT
5,24,44992.25578562347,IT
6,38,35193.199182078264,IT
7,26,45797.56975237787,Marketing
8,56,40576.7739296916,IT
9,25,36888.04191053842,IT
10,59,53141.38680994234,Marketing
11,24,38585.72133003716,Finance
12,53,53853.55086845604,Finance
13,37,58265.684572791804,HR
14,43,48637.094830351096,HR
15,35,55016.59402986016,Marketing
16,61,56935.65494948201,Marketing
17,44,42250.061901608846,Marketing
18,18,71986.97513319187,Finance
19,29,28742.244388537954,IT
20,44,52068.462000535466,Finance
21,45,40551.58082420461,IT
22,40,51565.42195630512,IT
23,26,57981.05105025541,HR
24,42,58586.23016955517,Finance
25,63,70554.86397349449,Marketing
26,24,53432.17458249297,IT
27,30,53094.24129285407,IT
28,49,61140.227302908825,Marketing
29,46,42240.58775689477,IT
30,47,43906.99275372603,Marketing
31,40,54791.709538221556,Finance
32,27,56992.51068030326,HR
33,28,69156.56549134264,IT
34,36,82413.85359679298,HR
35,49,39232.34765965807,Finance
36,27,43278.589195222165,Finance
37,41,36072.71935831352,Finance
38,40,62715.50158314072,Marketing
39,51,48471.71295943078,HR
40,48,68500.38665066472,IT
41,33,60852.66040873449,HR
42,24,64754.51280366053,IT
43,60,61540.84361374441,IT
44,61,46672.26172813319,IT
45,60,64124.85820647778,IT
46,39,29551.46313821215,IT
47,47,35579.2302065346,Finance
48,61,78146.39015344596,HR
49,48,67123.0454774247,IT
50,33,62664.63299845138,Marketing
51,20,63577.01393459561,HR
52,37,44917.177452532014,IT
53,40,67905.60190436534,HR
54,20,68482.89849256574,HR
55,55,34330.02797965933,HR
56,62,41287.26638271477,IT
57,41,53924.534837574814,Marketing
58,58,51589.4398265729,Marketing
59,54,35999.21343703306,IT
60,60,62191.09895321608,HR
61,28,54039.509690479026,Marketing
62,64,59170.88795237373,HR
63,35,28327.345754565762,IT
64,40,29089.502242993727,HR
65,35,62699.74396777281,HR
66,22,64254.466194276865,IT
67,60,40184.45215651001,Finance
68,47,60130.730210907874,IT
69,31,42350.73354624855,Marketing
70,42,42279.22342745698,Marketing
71,39,61338.26665161303,IT
72,49,57877.72188128617,IT
73,23,54961.14340931982,Marketing
74,54,54679.45264179557,IT
75,28,58825.086834592,Finance
76,27,42687.19878355038,HR
77,51,73255.76230055805,Finance
78,20,51425.553208430836,HR
79,48,26346.4096940067,HR
80,47,44212.323278435426,IT
81,29,69731.11528043414,Finance
82,23,45025.433672754174,IT
83,55,75529.55698115198,Finance
84,49,36776.18211709585,IT
85,21,54599.89482952394,HR
86,61,53473.918896170115,HR
87,19,50657.64278469511,Finance
88,64,81087.85721080216,HR
89,47,33171.73857339568,Marketing
90,38,26060.883886571944,IT
91,32,67299.66603913407,Finance
92,48,38290.573111839854,Finance
93,38,5868.63361023132,Finance
94,32,59006.1228261586,Finance
95,44,25469.37749141426,Marketing
96,39,29400.78975528013,IT
97,47,37570.63254570503,Finance
98,38,54831.69320353734,HR
99,62,64590.447635044926,HR
100,23,54187.32837711342,Marketing
101,51,40770.39518769422,IT
102,41,26815.294243667995,Finance
103,30,57019.936189798624,Marketing
104,18,51966.15093195927,HR
105,59,48654.26803272058,Marketing
106,34,36034.93276041731,IT
107,46,50662.49156819004,HR
108,58,75274.05726222915,IT
109,63,50399.08585250437,Finance
110,32,45571.37448074598,Finance
111,33,64214.07601947633,IT
112,23,43972.88869316286,Finance
113,21,34390.30925722109,HR
114,20,45659.25608600231,HR
115,32,42305.73155163259,Marketing
116,30,53783.39454030514,Finance
117,23,43358.17193519518,IT
118,38,42596.04746143988,Marketing
119,27,77660.32226431022,IT
