id,age,salary,department
0,20,54559.326024151735,IT
1,41,71207.47546377413,HR
2,21,30844.950741724035,Finance
3,52,51695.3634912268,Finance
4,20,53841.76093437353,Finance
5,20,35828.73349076456,IT
6,29,32851.901093818604,Marketing
7,18,28984.960078781343,HR
8,45,61852.06512971426,Marketing
9,50,55935.71156334374,IT
10,28,45098.0603457215,Marketing
11,44,60887.61806116302,Finance
12,34,46096.70437249431,Finance
13,35,53278.70837032095,HR
14,21,84402.25860227473,Marketing
15,20,26836.951916533468,Marketing
16,62,39781.21453678142,Marketing
17,55,60354.019478222915,Finance
18,61,40900.106110262976,IT
19,39,50054.30484132181,HR
20,26,64972.49061999784,Finance
21,43,77197.12605571019,IT
22,25,70904.44364820888,HR
23,41,26406.809243831292,Finance
24,43,54620.34546552068,HR
25,50,55367.45339651536,Marketing
26,32,48904.611486582486,Marketing
27,21,74998.34944534783,Finance
28,32,38898.52805408041,IT
29,62,42649.82414891314,HR
30,23,33829.32297797378,HR
31,24,62424.52964500556,Marketing
32,38,46849.1935938709,IT
33,18,57170.416024614955,HR
34,33,50175.196547328225,Finance
35,56,40570.62515368744,HR
36,41,79301.80493881287,Marketing
37,59,67815.23756977757,HR
38,46,57666.44895016906,Marketing
39,18,58798.61642049794,IT
40,29,53008.14899988791,IT
41,35,53145.308085994344,HR
42,47,38425.4896852492,IT
43,33,43421.42014059252,HR
44,30,59760.82599318522,HR
45,60,52406.284504269686,Marketing
46,32,59252.74915067459,Marketing
47,54,28927.372836632174,HR
48,56,69935.56228462189,HR
49,35,52511.83815082282,Finance
50,57,55487.13490023204,IT
51,55,85659.59693272457,Finance
52,29,59298.2020410473,IT
53,49,39723.9750974817,IT
54,24,37711.50527693218,IT
55,36,72366.21228160507,HR
56,35,40564.82012899698,IT
57,25,65987.92007465268,Finance
58,54,68745.84495196427,HR
59,56,47549.253554712486,HR
60,24,53335.26172626715,Marketing
61,25,59597.41215807215,Marketing
62,27,28273.280308136196,IT
63,25,53321.9304957051,IT
64,61,47543.22792632552,IT
65,60,62171.42186532479,HR
66,20,67068.04234372357,IT
67,31,59907.74392398416,Marketing
68,31,55448.43585235734,Marketing
69,23,68276.97844777898,HR
70,42,82384.51975137799,IT
71,28,46591.31163121067,HR
72,39,46669.655883317944,HR
73,41,55204.364926586204,Finance
74,34,43424.72805413768,Finance
75,28,81741.77399467169,Marketing
76,18,67554.09785179941,HR
77,47,36134.87940967407,HR
78,18,76768.1929271298,Finance
79,26,66976.1130838761,Marketing
80,58,63680.38208732973,Marketing
81,46,48356.30400242429,HR
82,44,39312.27740569868,HR
83,61,60194.13775538413,HR
84,53,42978.72015178032,Marketing
85,43,75434.69239159029,IT
86,24,65937.41394031169,IT
87,41,82521.65937958428,Finance
88,41,53277.909242969065,IT
89,18,35207.89498752071,IT
90,58,46581.718417657015,HR
91,64,40625.17013043848,Marketing
92,34,63302.87121895604,Finance
93,59,60133.28581318078,Marketing
94,59,22560.23937617768,Marketing
95,24,37772.79293035505,HR
96,50,55499.22102662151,IT
97,41,40583.50645675588,IT
98,39,59106.48852437049,Marketing
99,39,39149.34165140393,Finance
100,31,55875.98525136098,Marketing
101,40,47952.53640326187,IT
102,43,30949.908529406966,HR
103,27,49598.73445591571,HR
104,30,69297.76290077186,HR
105,25,57421.89175231242,IT
106,32,47878.611387633806,Marketing
107,32,46785.73371529582,Marketing
108,48,79020.56663544118,Marketing
109,24,43461.83225320767,HR
110,35,47382.356799048146,IT
111,36,67005.5433271392,HR
112,42,50539.68820335673,HR
113,62,36543.67058250792,Finance
114,32,54453.08222989728,Finance
115,60,59333.72677952977,HR
116,49,33998.325968362464,Marketing
117,63,54867.548683605426,Marketing
118,20,59435.88849782789,Finance
119,54,56427.37884500293,HR
120,31,52968.355874450266,IT
121,38,38305.68172906185,Marketing
122,55,62182.042086748435,IT
123,61,61432.31205836145,HR
124,54,43515.04192313131,IT
125,63,59620.662637315974,Marketing
126,49,56987.90682223736,Marketing
127,28,34751.79283152571,Finance
128,57,39339.65497981894,Marketing
129,30,25780.959927476037,Finance
130,63,44589.64793797244,IT
131,37,12668.132921797376,Finance
132,50,40475.2422660462,Finance
133,20,52236.212339742444,Marketing
134,23,49457.365190984805,IT
135,36,41319.863887408384,Marketing
136,35,48212.43800852082,Finance
137,27,57357.878146135496,Finance
138,45,62980.95867871707,IT
139,46,50136.180012294244,HR
140,53,52458.13389298729,HR
141,64,71007.41876453662,Marketing
142,61,49640.3233753803,Marketing
143,29,37617.374894122186,Finance
144,34,15180.596168519629,Finance
145,47,51080.16389975592,IT
146,36,52144.87923611312,HR
147,43,65770.19316482486,Finance
148,27,56990.1032827614,Marketing
149,34,50767.29383008814,Marketing
150,26,33764.96783196946,HR
151,61,44812.91886872238,Finance
152,61,75202.24474202284,HR
