id,age,salary,department
0,25,45746.032518436,Marketing
1,25,34439.04333554788,HR
2,30,51876.269905954454,Finance
3,35,31006.145287989515,HR
4,59,48237.373771883664,HR
5,45,73297.93427645278,Marketing
6,49,82227.55991077224,Finance
7,37,49933.87841840091,HR
8,50,42601.191814821315,Finance
9,30,69357.4661658651,Finance
10,21,31438.099778905656,IT
11,54,17228.567117138155,HR
12,47,55615.71236523263,Finance
13,37,36564.416338500596,IT
14,63,30568.191788399672,HR
15,22,55025.335261922395,Finance
16,40,68166.1305958649,Finance
17,44,67550.86146110621,IT
18,27,38244.23223438085,HR
19,38,31846.10938640159,IT
20,63,51199.755059635165,IT
21,54,42968.028268621645,IT
22,25,45410.40130728775,IT
23,29,27235.469221455536,HR
24,22,30510.2478694511,Finance
25,31,54418.27825731182,HR
26,21,63240.57659908895,Marketing
27,36,26836.76422427845,Finance
28,30,38343.21377642635,Finance
29,33,46025.63940244342,HR
30,64,36596.97772715607,IT
31,51,74124.97890866674,Finance
32,60,55875.25734758778,HR
33,60,45237.02883083536,HR
34,38,36982.55815725604,Finance
35,36,45000.05174148852,Marketing
36,58,52546.62935577135,Marketing
37,54,33131.11015881781,HR
38,18,50296.30240953419,IT
39,44,55091.74941965291,IT
40,23,52899.03689601134,Marketing
41,55,48735.20289324528,HR
42,52,56321.4402707172,Finance
43,35,47273.755706576645,Marketing
44,49,47119.06874534352,Finance
45,47,38846.68589842343,Marketing
46,56,30567.21313712804,HR
47,36,47129.19927029937,Marketing
48,36,45705.56951365118,IT
49,41,58752.07851310674,Finance
50,26,59553.86943592029,Finance
51,22,66870.35231715912,IT
52,37,53916.854844177404,HR
53,21,57887.37272702399,Marketing
54,50,54233.96765069773,Finance
55,63,57643.76130569343,Finance
56,53,24793.446837443218,HR
57,52,63462.282320597886,HR
58,46,77123.4939754754,Finance
59,40,68383.54933225588,HR
60,39,65085.36246054092,Marketing
61,31,47664.26678690368,Finance
62,47,51536.84312724333,Finance
63,30,70409.02222856687,HR
64,38,51150.53809880195,Marketing
65,38,40515.55753949888,Marketing
66,51,42850.00185828949,Finance
67,55,44773.88013441498,Finance
68,38,30986.243379608994,Marketing
69,55,51843.74205380015,Finance
70,62,38663.49658972953,HR
71,33,64186.45632598276,IT
72,22,46945.70557756759,Finance
73,29,35981.384708439444,Marketing
74,54,68299.4050798244,Marketing
75,48,50916.946016339476,Finance
76,22,46945.190006937715,Finance
77,53,52954.136713076696,IT
78,29,64412.40323611216,HR
