id,age,salary,department
0,29,71618.57424465672,HR
1,43,33543.821526900174,HR
2,64,46006.182114331365,Finance
3,18,56838.51457996091,Marketing
4,51,45459.466018006504,HR
5,18,49670.45368498805,HR
6,52,47543.13668323316,Finance
7,50,57393.40373710301,Finance
8,45,65956.66291475874,Finance
9,58,77109.99382373944,HR
10,21,45167.23710825131,Finance
11,49,18234.174155590485,Finance
12,36,25403.387797476935,Finance
13,58,98482.22794166546,IT
14,64,79334.25478911844,Marketing
15,25,75481.10184077377,HR
16,49,53122.29012121739,HR
17,44,51230.308927504026,Marketing
18,41,63712.15725122812,IT
19,24,44644.99916301665,Finance
20,59,50384.62741331141,Finance
21,21,44070.48724336379,Marketing
22,53,73419.63449768645,Marketing
23,32,21398.604160504143,Finance
24,29,37699.776157598026,IT
25,35,44456.728796473144,HR
26,23,65775.8738998596,Marketing
27,63,65203.085613971925,HR
28,22,52033.92227696323,HR
29,26,56007.52275037799,HR
30,36,77870.27547327992,Marketing
31,41,62657.8275132172,IT
32,57,31111.217051708536,IT
33,37,50176.00532869373,HR
34,36,43893.85732901791,HR
35,28,50322.44865118388,Finance
36,31,42143.88870345781,Marketing
37,18,52282.24442488428,HR
38,62,68100.2769547214,HR
39,38,43776.54114738252,Marketing
40,29,38403.496918107274,IT
41,58,6798.807905050035,IT
42,22,71815.9721378479,HR
43,18,50889.38240422708,HR
44,44,50209.30947191812,IT
45,35,19529.069506308955,Finance
46,46,76969.553123349,Finance
47,47,78873.04252056734,IT
48,43,51223.74131033344,HR
49,53,46739.984024837235,IT
50,29,51823.812218428146,IT
51,52,53517.11892321663,Marketing
52,40,40429.39067377245,Finance
53,40,59275.42478761297,Marketing
54,43,35412.470870065416,Marketing
55,56,50024.897901812314,Finance
56,52,43507.10971288298,IT
57,29,65584.87474443774,Marketing
58,31,42067.60165601329,Marketing
59,56,49730.815197323645,Finance
60,50,44079.511573197415,IT
61,21,39277.4130651124,Finance
62,60,53971.96054518848,HR
63,64,88077.55183532038,IT
64,42,77287.1560673282,Finance
65,41,32615.79628411063,IT
66,34,69423.2177218198,IT
67,36,65344.43407014041,HR
68,39,55565.39043528245,HR
69,34,52864.48473279275,Finance
70,31,60737.275431382666,Marketing
71,43,33063.91992736553,IT
72,50,51696.0456145269,Marketing
73,44,27505.793283731895,Marketing
74,23,48517.965804519285,IT
75,42,58747.62030214481,Finance
76,51,19998.799490299916,IT
77,63,72205.28935918242,HR
78,52,51554.65926606597,Finance
79,54,50637.92254175231,Marketing
80,58,64281.379755314614,HR
81,32,60545.99694048024,Finance
82,44,43711.41238109035,IT
83,49,69231.94567657057,IT
84,19,36371.244572951684,Finance
85,22,64373.91217509507,Finance
86,25,50504.6794081194,Marketing
87,32,54551.89581608142,Marketing
88,39,43807.408049613565,HR
89,32,38845.07872718714,HR
90,33,46664.50774797868,Finance
91,25,62445.64606334026,HR
92,36,43210.83103398938,Finance
93,44,51827.4137711113,Marketing
94,35,60790.481025003595,Marketing
95,33,52469.253023682504,IT
96,48,60513.68543484121,HR
97,58,26089.57090714921,HR
98,21,65600.65756305915,Marketing
99,61,24833.58160559488,Finance
100,27,34062.3496308745,HR
101,56,47793.69203254135,Marketing
102,47,35268.465648370235,Finance
103,60,70954.8799769366,Finance
104,43,34698.318526698844,IT
105,39,37345.4660017675,HR
106,63,32561.637577610698,IT
107,64,34226.34268613175,Finance
108,33,47490.25959548853,IT
109,23,32429.840693692204,Finance
110,41,33033.88730632608,HR
111,43,39644.35869536758,Marketing
112,50,83226.0987432814,HR
113,37,76378.53338869882,IT
114,40,46127.89643413109,Marketing
115,40,52935.647286815845,Marketing
116,45,77879.6445379168,Finance
117,42,51192.273141855636,Marketing
118,38,59187.16692155895,IT
119,26,56743.40472218529,HR
120,48,18651.979417769562,IT
121,19,38487.635681512955,HR
122,40,67433.78690503284,HR
