id,age,salary,department
0,23,52497.66105898107,Marketing
1,40,44436.249508957444,IT
2,48,65747.4294134828,HR
3,20,66439.89183894166,IT
4,23,52419.96696026971,IT
5,60,55325.77638010914,Marketing
6,58,56558.757728085126,HR
7,25,38802.776952172586,HR
8,23,37352.501616269445,HR
9,27,65797.11445449728,Marketing
10,42,68366.44963358116,HR
11,25,50780.92551935261,HR
12,41,45963.1336977461,HR
13,28,30973.284427013514,Finance
14,63,56385.88341125503,Finance
15,58,38189.50034248798,Finance
16,26,21515.477105896687,IT
17,41,44008.721038471886,IT
18,38,55983.186371436226,IT
19,32,57355.37432554134,Marketing
20,60,34486.03117063289,HR
21,46,44830.10079911457,HR
22,35,55305.1266633159,Marketing
23,47,56993.100636520605,IT
24,29,49751.82636901696,HR
25,41,59056.121618174555,HR
26,47,31773.942641471614,Finance
27,27,54012.93905382055,Finance
28,48,49781.06157157008,IT
29,24,45198.99600066204,HR
30,26,44315.69529618333,Finance
31,55,36487.80772732479,Marketing
32,25,56482.53336728817,IT
33,50,59427.708374489164,Marketing
34,59,47888.77153937032,Finance
35,39,66110.73094847576,IT
36,41,41672.52049129689,HR
37,27,35465.96117345591,IT
38,53,53763.70624380802,Marketing
39,33,46159.97258308347,Finance
40,36,56598.00844377009,Finance
41,18,30001.210488272616,HR
42,28,25773.642023226916,IT
43,58,43470.718009761695,HR
44,43,39195.34344771987,HR
45,22,50122.72847312584,IT
46,52,51096.78365082164,Finance
47,29,47057.08496846933,HR
48,46,22700.34427701844,Marketing
49,26,21471.77336553653,Marketing
50,23,53606.419638343665,Finance
51,50,16073.183516136913,Finance
52,46,57761.95010358078,HR
53,35,53431.80718799646,Marketing
54,41,58010.86089248477,Finance
55,45,32477.622528624634,IT
56,20,64322.022885311606,Finance
57,26,60364.69256681494,IT
58,35,46997.15504219027,IT
59,50,76247.57356060586,IT
60,47,55491.1379262691,HR
61,53,27121.302186362387,IT
62,34,51895.77999469794,Marketing
63,31,68908.50426193094,IT
64,24,58479.157165032244,Marketing
65,28,66761.3682874991,IT
66,56,52653.38771528024,IT
67,24,66428.03163018839,Marketing
68,60,52269.95905718921,HR
69,31,58066.163899810024,Finance
70,32,67928.17573707321,HR
71,18,57659.08809407418,HR
72,31,49830.83232336861,Marketing
73,23,67577.8912698367,Marketing
74,34,37018.608359222824,HR
75,27,32780.713514549025,HR
76,50,49140.23305331813,Marketing
77,54,28032.830084418547,Finance
78,34,40999.81652955608,Marketing
79,35,66251.95214094534,HR
80,32,73168.84676482847,Finance
81,31,35428.17850522657,IT
82,50,51330.960195390406,Marketing
83,52,18158.237543776784,HR
84,54,56107.89662526508,Finance
85,49,83147.9888414159,Finance
86,52,36798.53956878372,Marketing
87,34,34611.801646733,Marketing
88,19,41515.21122410211,IT
89,37,30390.466266868334,Finance
90,57,58396.672633979026,Marketing
91,43,35767.06493782057,Finance
92,19,35002.725544095956,IT
93,61,22438.63374114182,Marketing
94,50,64699.18424325883,Marketing
95,33,46042.69245573147,HR
96,59,36346.82051294831,HR
97,59,66737.0911693041,Marketing
98,37,47097.20041797923,HR
99,58,40320.924255205435,Finance
100,47,57277.101177148164,Finance
101,52,63020.68153551579,HR
102,57,33794.356991431494,Marketing
103,33,63364.377807511766,Marketing
104,37,42116.38473678082,Finance
105,49,40640.40131371687,IT
106,32,72027.70598698071,HR
107,49,63976.16589441849,Finance
108,21,43028.16124712812,Finance
109,53,45677.09891985782,Marketing
110,32,54254.38647369592,Finance
111,19,77095.6690446487,Finance
112,48,54049.58855867216,Finance
113,64,10150.604276171,Finance
114,43,41315.00071371468,IT
115,29,46252.48138218414,IT
116,57,20338.548013776388,HR
117,56,72034.64871474238,IT
118,45,40604.379854115396,HR
119,42,22026.320752205884,Marketing
120,35,41947.58672426307,IT
121,27,38718.59722901578,Finance
122,53,69712.93133993864,Finance
123,61,80493.58072907476,Marketing
124,61,53374.62740069573,HR
125,50,44940.179266816755,HR
126,61,15990.740856013872,IT
127,43,31084.38577885111,HR
128,61,32580.41302004032,Finance
129,54,42005.6045666679,IT
130,49,27667.661574558755,Finance
131,59,46827.31188272882,Finance
132,61,74364.28487101293,HR
133,54,58404.24297685101,IT
134,39,41541.27817054385,Marketing
135,37,55647.176422316756,Marketing
136,28,30205.570812869588,Finance
137,49,78369.78541810566,Finance
138,21,50755.446726722315,Finance
139,23,52365.22890471081,Marketing
140,47,71901.60125491512,HR
141,28,39762.08922497153,Finance
142,29,49754.79518150839,IT
143,32,52919.07279122159,HR
144,22,30909.186936927825,Finance
145,51,75790.27436360467,Finance
146,44,77128.53617129006,Finance
147,55,55405.30248966985,HR
148,44,35639.70408778759,Marketing
149,20,71050.03788656706,Marketing
150,44,41052.70520922018,Marketing
151,46,36960.40922770967,Finance
152,28,48664.16535761897,IT
153,41,47728.6807123185,Marketing
154,37,54324.86890703477,Marketing
155,53,56262.07213855657,IT
156,58,52827.43256673616,IT
157,35,46738.41369675401,HR
158,62,47555.317776519005,IT
159,51,73279.59135252865,HR
160,25,50952.469385718745,HR
161,26,39615.68869092905,IT
162,52,60562.75886721083,IT
163,40,46693.92338939256,HR
164,54,63735.1189035524,IT
165,38,40013.00560308811,Finance
166,31,50774.08770980979,Finance
167,43,24782.84159051719,IT
168,25,21831.42378775363,Marketing
169,43,24561.83812635215,Finance
170,43,58816.23124270497,HR
171,28,41311.89488706315,Finance
172,43,31171.034777332865,Finance
173,29,80624.62750910474,HR
174,26,41049.92888368024,HR
175,62,47168.22133837921,Finance
176,28,63426.27639694604,Marketing
177,57,53412.44573709692,HR
178,25,67766.45161236335,Marketing
179,29,54313.97132037271,IT
180,54,38190.77944259503,Finance
181,27,81685.64000786678,Marketing
182,56,12533.379401105874,HR
183,64,32010.629717654974,IT
184,26,58966.8550384824,Finance
185,30,44210.30186816052,Finance
186,19,45522.8826168804,HR
187,63,64997.76224253566,Marketing
188,63,58265.92535077768,Finance
189,64,47552.64380651083,HR
190,63,42331.45239461252,Finance
191,32,44920.61300247775,HR
192,18,51525.35465770905,HR
193,58,52895.9748262806,Marketing
194,28,62126.60383473786,HR
195,44,40334.71867447727,IT
196,46,58758.10019734519,Marketing
197,52,44539.67542170506,Finance
198,59,54766.64503600284,IT
199,56,74608.03414532091,Marketing
200,63,46555.91441461481,Finance
201,48,33916.92795250665,IT
202,51,49314.086203410436,Marketing
203,52,50088.002657975,Finance
204,57,60107.02706703995,Finance
205,26,10413.680764689863,Finance
206,20,58696.56833575012,IT
207,41,73378.39320722585,IT
208,35,23204.810476801144,Finance
209,56,58786.38210216739,Marketing
210,23,36456.55207799214,HR
211,37,45022.364605949326,Finance
212,55,51314.976818227384,Finance
213,27,59576.63079057578,HR
214,50,25246.090784632972,Marketing
215,30,47208.208261510634,Finance
216,30,37015.14341521584,IT
217,54,41470.35091231253,Finance
218,44,37142.635973700504,IT
219,48,50656.747840253236,HR
220,29,66812.53796227384,Marketing
221,43,59182.803899642735,IT
222,64,61004.20105254124,Finance
223,27,73794.91114034229,Finance
224,19,61289.852323973086,Finance
225,32,46694.28739229708,IT
226,21,37102.99265693442,HR
227,59,41631.73972570659,Finance
228,37,63408.77457294414,Marketing
229,20,70997.1513214159,HR
230,54,25881.543486817704,Finance
231,38,64417.65204382517,IT
232,49,42164.05339594186,Finance
233,44,56346.358940450686,Finance
234,36,52220.95149436319,IT
235,31,36245.34608666974,HR
236,59,63124.214324193366,HR
237,45,47360.817107073985,IT
238,45,42787.53860648147,Marketing
239,59,45275.78513292742,Finance
240,35,48977.24683622269,Finance
241,30,51678.99054021779,HR
242,56,63716.449837160806,HR
243,52,82021.93384844041,HR
244,18,31578.311128373804,HR
245,36,38554.32178474224,Marketing
246,30,42964.641723166314,Finance
247,57,52073.94402479802,HR
248,63,31999.04206228057,Finance
249,48,45035.38217030221,Marketing
250,22,8101.652516533378,IT
251,53,61616.83487682918,Marketing
252,52,64382.689002567415,HR
253,25,66886.50814962215,IT
254,46,26548.388720767984,Marketing
255,53,47904.5560659247,Marketing
256,30,62925.12564468492,IT
257,24,64193.512434151766,HR
258,55,14344.274608139112,Marketing
259,39,48466.33680249099,Marketing
260,59,46846.78125974732,HR
261,61,57498.839275654806,Finance
262,19,47170.32762443607,Marketing
263,42,35357.50035745408,HR
264,51,58591.889034546955,Marketing
265,29,38778.30480839133,Marketing
266,20,48844.569902984585,Marketing
267,58,21991.698419194814,Marketing
268,28,43065.789347321275,Finance
269,54,32132.474630939378,HR
270,35,58354.156665827744,Marketing
271,61,54646.53902441849,HR
272,61,41252.67920655783,Marketing
273,23,66609.02065213856,HR
274,35,69916.4372848753,Finance
275,18,34759.69300130025,Marketing
276,60,61483.38269024154,Marketing
277,39,43760.543681520525,IT
278,46,38867.01806774768,Finance
279,36,56360.15402102334,Finance
280,45,47456.67665929642,Marketing
281,39,21397.565171796705,Marketing
282,64,49466.73834202322,Marketing
283,51,49762.583256969025,Finance
284,18,16077.237633842244,HR
285,52,56678.660504300125,Finance
286,62,66541.24771328099,HR
287,18,35908.86397949159,Marketing
288,63,48003.16072925368,HR
289,59,35490.025941649656,HR
290,35,62767.99465370686,Finance
291,60,86887.83812049689,Finance
292,43,47481.39568418284,Finance
293,62,50811.647946854544,HR
294,38,59161.93115611815,Finance
295,26,83277.13176491467,IT
296,33,52963.1776403531,Marketing
297,52,65989.49879778757,Marketing
298,29,58151.14990077888,IT
299,31,51398.889393317484,IT
300,35,55223.82328966715,Finance
301,41,46526.90580727257,Finance
302,48,59353.119448957485,HR
303,50,4622.163032043393,IT
304,47,37553.56561656203,IT
305,62,46320.85011653122,Finance
306,33,39554.03747404396,Marketing
307,31,60732.34342392336,Marketing
308,38,36345.333789110184,Finance
309,46,60989.12313226106,HR
310,27,24616.4641611506,HR
311,55,58615.63067647926,Finance
312,37,88188.36061411543,Finance
313,31,33081.704785416914,Finance
314,48,74987.72741362354,HR
315,25,60300.882097725436,Finance
316,29,45481.16100225034,Finance
317,46,61355.10724702978,HR
318,26,54926.3606342297,HR
319,36,46955.5434727936,Marketing
320,42,55365.46176951201,IT
321,56,52079.19109596014,IT
322,33,54502.69513314807,HR
323,52,57899.6760194775,Finance
324,60,77134.36521363843,IT
325,34,45721.77585871982,Marketing
326,48,49967.444564824626,HR
327,38,61772.813012280756,HR
328,49,42642.83358301484,IT
329,61,42499.66622402116,IT
330,51,52497.43712996937,Finance
331,46,58240.659970230256,Marketing
332,46,52125.32977890833,Marketing
333,59,33073.193205301824,HR
334,49,55270.52219113442,HR
335,19,37073.97100787983,Marketing
336,30,52576.55928663683,Marketing
337,45,44288.51926276421,Marketing
338,24,49351.4427571743,Finance
339,37,58772.647859176934,Marketing
340,51,59471.001718558895,HR
341,55,27435.017385853625,Finance
342,21,34852.25600674017,HR
343,18,42410.40767009105,Marketing
344,48,47813.5024378266,Finance
345,50,63478.4888873669,Marketing
346,48,54539.71994535897,Marketing
347,37,52154.92609667939,HR
348,44,48257.647565665895,Marketing
349,51,61102.38638827408,IT
350,45,38482.04212355991,HR
351,64,51904.05142710963,IT
352,26,29026.380904212547,IT
353,30,83818.80515308384,HR
354,45,39818.687001020364,HR
355,56,54459.10435433799,Finance
356,35,44548.04896247867,Finance
357,57,45092.66963706418,HR
358,24,78503.29298198587,Marketing
359,50,37313.57707010719,Finance
360,55,18662.90348846464,IT
361,35,60209.89629787885,Marketing
362,48,56324.75482469082,HR
363,44,56004.688900441295,HR
364,61,28068.75671172124,Finance
365,45,55694.591504693766,Marketing
366,58,60140.58891813502,HR
367,62,37224.288150737804,Marketing
368,63,44918.639852672655,Marketing
369,52,53970.35954210451,HR
370,54,57656.96095872714,Marketing
371,44,39678.79883409914,HR
372,52,58427.91791757403,Marketing
373,30,45547.198858890406,Marketing
374,30,92070.00866975677,HR
375,63,42769.54070054848,HR
376,39,69671.20766398725,Finance
377,34,35081.89539314851,HR
378,48,65514.811349098614,Marketing
379,44,30570.326262631956,Finance
380,33,59796.088492845425,Finance
381,21,32656.401171944883,Marketing
382,60,53420.23320185016,HR
383,53,55331.455282434355,IT
384,26,54871.39682859951,Marketing
385,45,57466.40857468742,HR
386,61,36845.321272752524,HR
387,41,71842.98146257068,Finance
388,48,64318.43723549328,HR
389,18,43454.80708481206,HR
390,57,62594.10162654122,IT
391,30,39575.20694403169,IT
392,29,59076.951108244226,HR
393,63,28502.765331531522,HR
394,48,49635.760533035784,Finance
395,40,57166.70713821122,Finance
396,33,61506.16429783181,Finance
397,43,72955.69421467451,HR
398,62,52339.005606843064,Marketing
399,38,68176.8965407502,HR
400,25,32808.66116366964,HR
401,32,47910.00676541209,IT
402,42,44431.869418626855,Marketing
403,24,51586.14748544791,IT
404,19,49825.24826036951,Marketing
405,19,59661.056352932166,Finance
406,50,47380.8209707576,Marketing
407,21,65531.457567285426,IT
408,54,51660.047419011695,Finance
409,25,64392.140387416795,IT
410,47,45157.53213974521,IT
411,26,52112.58504126988,Finance
412,33,32796.47158144535,Finance
413,20,72640.58731545403,HR
414,36,54245.49196689927,Marketing
415,33,39263.86902666606,IT
416,35,27057.8764947152,Marketing
417,25,63029.06836990853,Marketing
418,39,58724.36299376674,IT
419,19,43440.11431475421,HR
420,64,56931.00146643169,IT
421,37,45687.36158481018,HR
